n,factorization,omega,f,minimizers,above_sqrt,at_sqrt,equals_n_over_largest_prime
2232,2^3*3^2*31,3,62,36,True,False,False
2233,7*11*29,3,11,406,False,False,False
2234,2*1117,2,2,1117,False,False,True
2235,3*5*149,3,15,149 298 447 596 745 894 1043,False,False,True
2236,2^2*13*43,3,13,172,False,False,False
2238,2*3*373,3,6,373 746 1119,False,False,True
2240,2^6*5*7,3,14,160,False,False,False
2241,3^3*83,2,9,747,False,False,False
2242,2*19*59,3,2,1121,False,False,False
2244,2^2*3*11*17,4,12,187 374 748,False,False,False
2245,5*449,2,5,449 898,False,False,True
2246,2*1123,2,2,1123,False,False,True
2247,3*7*107,3,3,749,False,False,False
2248,2^3*281,2,8,281 562 843 1124,False,False,True
2249,13*173,2,13,173 346 519 692 865 1038,False,False,True
2250,2*3^2*5^3,3,18,125 250 375 625 750 875 1000,False,False,False
2252,2^2*563,2,4,563 1126,False,False,True
2253,3*751,2,3,751,False,False,True
2254,2*7^2*23,3,2,1127,False,False,False
2255,5*11*41,3,41,880,False,False,False
2256,2^4*3*47,3,48,47,True,False,True
2257,37*61,2,37,61 122 183 244 305 366 427 488 549 610 671 732 793 854 915 976 1037 1098,False,False,True
2258,2*1129,2,2,1129,False,False,True
2259,3^2*251,2,9,251 502 753 1004,False,False,True
2260,2^2*5*113,3,20,113 226 339 452 565 678 791 904 1017 1130,False,False,True
2261,7*17*19,3,17,399,False,False,False
2262,2*3*13*29,4,58,39,True,False,False
2263,31*73,2,31,73 146 219 292 365 438 511 584 657 730 803 876 949 1022 1095,False,False,True
2264,2^3*283,2,8,283 566 849 1132,False,False,True
2265,3*5*151,3,3,755,False,False,False
2266,2*11*103,3,22,103 206 309 412 515 618 721 824 927 1030 1133,False,False,True
2268,2^2*3^4*7,3,28,81,False,False,False
2270,2*5*227,3,10,227 454 681 908 1135,False,False,True
2271,3*757,2,3,757,False,False,True
2272,2^5*71,2,16,142 1136,False,False,False
2274,2*3*379,3,6,379 758 1137,False,False,True
2275,5^2*7*13,3,65,350 700,True,False,False
2276,2^2*569,2,4,569 1138,False,False,True
2277,3^2*11*23,3,99,23 46 69 92 115 138 161 529 552 575 598 621 644 667 690 1058 1081 1104 1127,True,False,True
2278,2*17*67,3,17,134,False,False,False
2279,43*53,2,43,53 106 159 212 265 318 371 424 477 530 583 636 689 742 795 848 901 954 1007 1060 1113,False,False,True
2280,2^3*3*5*19,4,24,380,False,False,False
