p,q,r,n,f,strict_hit
41,101,131,542471,41,False
41,101,137,567317,41,False
41,101,139,575599,41,False
41,101,149,617009,41,False
41,101,151,625291,101,False
41,101,157,650137,41,False
41,101,163,674983,41,False
41,101,167,691547,41,False
41,101,173,716393,41,False
41,101,179,741239,41,False
41,101,181,749521,41,False
41,101,191,790931,41,False
41,101,193,799213,41,False
41,101,197,815777,197,False
41,101,199,824059,41,False
41,103,107,451861,41,False
41,103,109,460307,41,False
41,103,113,477199,41,False
41,103,127,536321,41,False
41,103,131,553213,41,False
41,103,137,578551,41,False
41,103,139,586997,41,False
41,103,149,629227,41,False
41,103,151,637673,41,False
41,103,157,663011,41,False
41,103,163,688349,41,False
41,103,167,705241,41,False
41,103,173,730579,41,False
41,103,179,755917,41,False
41,103,181,764363,41,False
41,103,191,806593,103,False
41,103,193,815039,41,False
41,103,197,831931,41,False
41,103,199,840377,41,False
41,107,109,478183,107,False
41,107,113,495731,41,False
41,107,127,557149,41,False
41,107,131,574697,41,False
41,107,137,601019,137,False
41,107,139,609793,41,False
41,107,149,653663,107,False
41,107,151,662437,151,False
41,107,157,688759,41,False
41,107,163,715081,41,False
41,107,167,732629,41,False
41,107,173,758951,41,False
41,107,179,785273,41,False
41,107,181,794047,41,False
41,107,191,837917,41,False
41,107,193,846691,41,False
41,107,197,864239,41,False
41,107,199,873013,107,False
41,109,113,504997,41,False
41,109,127,567563,41,False
41,109,131,585439,109,False
41,109,137,612253,41,False
41,109,139,621191,41,False
41,109,149,665881,41,False
41,109,151,674819,41,False
41,109,157,701633,41,False
41,109,163,728447,109,False
41,109,167,746323,41,False
41,109,173,773137,41,False
41,109,179,799951,41,False
41,109,181,808889,109,False
41,109,191,853579,41,False
41,109,193,862517,41,False
41,109,197,880393,41,False
41,109,199,889331,41,False
41,113,127,588391,113,False
41,113,131,606923,41,False
41,113,137,634721,41,False
41,113,139,643987,41,False
41,113,149,690317,4633,True
41,113,151,699583,41,False
41,113,157,727381,41,False
41,113,163,755179,41,False
41,113,167,773711,41,False
41,113,173,801509,41,False
41,113,179,829307,41,False
41,113,181,838573,41,False
41,113,191,884903,41,False
41,113,193,894169,193,False
41,113,197,912701,41,False
41,113,199,921967,41,False
41,127,131,682117,41,False
41,127,137,713359,137,False
41,127,139,723773,41,False
41,127,149,775843,41,False
41,127,151,786257,41,False
41,127,157,817499,41,False
41,127,163,848741,41,False
41,127,167,869569,41,False
41,127,173,900811,41,False
41,127,179,932053,127,False
41,127,181,942467,41,False
41,127,191,994537,127,False
41,127,193,1004951,41,False
41,127,197,1025779,41,False
41,127,199,1036193,41,False
41,131,137,735827,41,False
41,131,139,746569,41,False
41,131,149,800279,41,False
41,131,151,811021,41,False
41,131,157,843247,131,False
41,131,163,875473,131,False
41,131,167,896957,41,False
41,131,173,929183,173,False
41,131,179,961409,179,False
41,131,181,972151,41,False
41,131,191,1025861,41,False
41,131,193,1036603,41,False
41,131,197,1058087,131,False
41,131,199,1068829,41,False
41,137,139,780763,137,False
41,137,149,836933,41,False
41,137,151,848167,41,False
41,137,157,881869,41,False
41,137,163,915571,41,False
41,137,167,938039,41,False
41,137,173,971741,41,False
41,137,179,1005443,41,False
41,137,181,1016677,181,False
41,137,191,1072847,41,False
41,137,193,1084081,41,False
41,137,197,1106549,41,False
41,137,199,1117783,41,False
41,139,149,849151,41,False
41,139,151,860549,41,False
41,139,157,894743,41,False
41,139,163,928937,41,False
41,139,167,951733,139,False
41,139,173,985927,139,False
41,139,179,1020121,41,False
41,139,181,1031519,41,False
41,139,191,1088509,41,False
41,139,193,1099907,41,False
41,139,197,1122703,41,False
41,139,199,1134101,41,False
41,149,151,922459,149,False
41,149,157,959113,41,False
41,149,163,995767,41,False
41,149,167,1020203,41,False
41,149,173,1056857,41,False
41,149,179,1093511,149,False
41,149,181,1105729,41,False
41,149,191,1166819,41,False
41,149,193,1179037,41,False
41,149,197,1203473,197,False
41,149,199,1215691,41,False
41,151,157,971987,41,False
41,151,163,1009133,41,False
41,151,167,1033897,41,False
41,151,173,1071043,41,False
41,151,179,1108189,41,False
41,151,181,1120571,151,False
41,151,191,1182481,41,False
41,151,193,1194863,151,False
41,151,197,1219627,41,False
41,151,199,1232009,151,False
41,157,163,1049231,41,False
41,157,167,1074979,41,False
41,157,173,1113601,41,False
41,157,179,1152223,41,False
41,157,181,1165097,41,False
41,157,191,1229467,41,False
41,157,193,1242341,41,False
41,157,197,1268089,41,False
41,157,199,1280963,41,False
41,163,167,1116061,6683,True
41,163,173,1156159,41,False
41,163,179,1196257,163,False
41,163,181,1209623,41,False
41,163,191,1276453,41,False
41,163,193,1289819,41,False
41,163,197,1316551,41,False
41,163,199,1329917,163,False
41,167,173,1184531,41,False
41,167,179,1225613,41,False
41,167,181,1239307,41,False
41,167,191,1307777,41,False
41,167,193,1321471,41,False
41,167,197,1348859,41,False
41,167,199,1362553,41,False
41,173,179,1269647,41,False
41,173,181,1283833,41,False
41,173,191,1354763,41,False
41,173,193,1368949,41,False
41,173,197,1397321,197,False
41,173,199,1411507,41,False
41,179,181,1328359,179,False
41,179,191,1401749,41,False
41,179,193,1416427,193,False
41,179,197,1445783,41,False
41,179,199,1460461,41,False
41,181,191,1417411,41,False
41,181,193,1432253,41,False
41,181,197,1461937,41,False
41,181,199,1476779,181,False
41,191,193,1511383,191,False
41,191,197,1542707,41,False
41,191,199,1558369,41,False
41,193,197,1558861,193,False
41,193,199,1574687,41,False
41,197,199,1607323,197,False
43,47,53,107113,47,False
43,47,59,119239,43,False
43,47,61,123281,43,False
43,47,67,135407,43,False
43,47,71,143491,43,False
43,47,73,147533,43,False
43,47,79,159659,43,False
43,47,83,167743,43,False
43,47,89,179869,43,False
43,47,97,196037,43,False
43,47,101,204121,101,False
43,47,103,208163,47,False
43,47,107,216247,43,False
43,47,109,220289,43,False
43,47,113,228373,43,False
43,47,127,256667,43,False
43,47,131,264751,43,False
43,47,137,276877,43,False
43,47,139,280919,43,False
43,47,149,301129,43,False
43,47,151,305171,43,False
43,47,157,317297,47,False
43,47,163,329423,43,False
43,47,167,337507,167,False
43,47,173,349633,43,False
43,47,179,361759,43,False
43,47,181,365801,43,False
43,47,191,386011,43,False
43,47,193,390053,43,False
43,47,197,398137,43,False
43,47,199,402179,43,False
43,53,59,134461,43,False
43,53,61,139019,43,False
43,53,67,152693,2279,True
43,53,71,161809,2279,True
43,53,73,166367,43,False
43,53,79,180041,53,False
43,53,83,189157,43,False
43,53,89,202831,43,False
43,53,97,221063,43,False
43,53,101,230179,43,False
43,53,103,234737,43,False
43,53,107,243853,53,False
43,53,109,248411,43,False
43,53,113,257527,43,False
43,53,127,289433,53,False
43,53,131,298549,53,False
43,53,137,312223,53,False
43,53,139,316781,43,False
43,53,149,339571,43,False
43,53,151,344129,151,False
43,53,157,357803,43,False
43,53,163,371477,43,False
43,53,167,380593,43,False
43,53,173,394267,43,False
43,53,179,407941,43,False
43,53,181,412499,43,False
43,53,191,435289,43,False
43,53,193,439847,43,False
43,53,197,448963,53,False
43,53,199,453521,53,False
43,59,61,154757,43,False
43,59,67,169979,43,False
43,59,71,180127,43,False
43,59,73,185201,43,False
43,59,79,200423,59,False
43,59,83,210571,59,False
43,59,89,225793,43,False
43,59,97,246089,43,False
43,59,101,256237,101,False
43,59,103,261311,59,False
43,59,107,271459,43,False
43,59,109,276533,43,False
43,59,113,286681,43,False
43,59,127,322199,43,False
43,59,131,332347,43,False
43,59,137,347569,43,False
43,59,139,352643,43,False
43,59,149,378013,59,False
43,59,151,383087,43,False
43,59,157,398309,43,False
43,59,163,413531,59,False
43,59,167,423679,167,False
43,59,173,438901,59,False
43,59,179,454123,59,False
43,59,181,459197,181,False
43,59,191,484567,2537,True
43,59,193,489641,43,False
43,59,197,499789,43,False
43,59,199,504863,2537,True
43,61,67,175741,43,False
43,61,71,186233,61,False
43,61,73,191479,43,False
43,61,79,207217,43,False
43,61,83,217709,43,False
43,61,89,233447,61,False
43,61,97,254431,97,False
43,61,101,264923,61,False
43,61,103,270169,43,False
43,61,107,280661,43,False
43,61,109,285907,109,False
43,61,113,296399,43,False
43,61,127,333121,43,False
43,61,131,343613,131,False
43,61,137,359351,43,False
43,61,139,364597,43,False
43,61,149,390827,61,False
43,61,151,396073,43,False
43,61,157,411811,43,False
43,61,163,427549,61,False
43,61,167,438041,43,False
43,61,173,453779,43,False
43,61,179,469517,61,False
43,61,181,474763,43,False
43,61,191,500993,43,False
43,61,193,506239,61,False
43,61,197,516731,43,False
43,61,199,521977,43,False
43,67,71,204551,43,False
43,67,73,210313,43,False
43,67,79,227599,43,False
43,67,83,239123,43,False
43,67,89,256409,67,False
43,67,97,279457,43,False
43,67,101,290981,43,False
43,67,103,296743,43,False
43,67,107,308267,43,False
43,67,109,314029,67,False
43,67,113,325553,43,False
43,67,127,365887,43,False
43,67,131,377411,67,False
43,67,137,394697,137,False
43,67,139,400459,43,False
43,67,149,429269,43,False
43,67,151,435031,151,False
43,67,157,452317,43,False
43,67,163,469603,43,False
43,67,167,481127,2881,True
43,67,173,498413,67,False
43,67,179,515699,67,False
43,67,181,521461,43,False
43,67,191,550271,43,False
43,67,193,556033,43,False
43,67,197,567557,43,False
43,67,199,573319,43,False
43,71,73,222869,43,False
43,71,79,241187,43,False
43,71,83,253399,43,False
43,71,89,271717,43,False
43,71,97,296141,43,False
43,71,101,308353,71,False
43,71,103,314459,43,False
43,71,107,326671,43,False
43,71,109,332777,3053,True
43,71,113,344989,113,False
43,71,127,387731,127,False
43,71,131,399943,3053,True
43,71,137,418261,43,False
43,71,139,424367,71,False
43,71,149,454897,43,False
43,71,151,461003,71,False
43,71,157,479321,43,False
43,71,163,497639,43,False
43,71,167,509851,43,False
43,71,173,528169,43,False
43,71,179,546487,71,False
43,71,181,552593,43,False
43,71,191,583123,43,False
43,71,193,589229,43,False
43,71,197,601441,43,False
43,71,199,607547,43,False
43,73,79,247981,43,False
43,73,83,260537,43,False
43,73,89,279371,43,False
43,73,97,304483,73,False
43,73,101,317039,73,False
43,73,103,323317,43,False
43,73,107,335873,73,False
43,73,109,342151,3139,True
43,73,113,354707,43,False
43,73,127,398653,43,False
43,73,131,411209,73,False
43,73,137,430043,43,False
43,73,139,436321,43,False
43,73,149,467711,73,False
43,73,151,473989,43,False
43,73,157,492823,43,False
43,73,163,511657,73,False
43,73,167,524213,43,False
43,73,173,543047,43,False
43,73,179,561881,43,False
43,73,181,568159,43,False
43,73,191,599549,73,False
43,73,193,605827,43,False
43,73,197,618383,73,False
43,73,199,624661,43,False
43,79,83,281951,43,False
43,79,89,302333,43,False
43,79,97,329509,97,False
43,79,101,343097,43,False
43,79,103,349891,43,False
43,79,107,363479,43,False
43,79,109,370273,43,False
43,79,113,383861,79,False
43,79,127,431419,43,False
43,79,131,445007,43,False
43,79,137,465389,43,False
43,79,139,472183,43,False
43,79,149,506153,79,False
43,79,151,512947,79,False
43,79,157,533329,79,False
43,79,163,553711,43,False
43,79,167,567299,79,False
43,79,173,587681,79,False
43,79,179,608063,43,False
43,79,181,614857,43,False
43,79,191,648827,43,False
43,79,193,655621,79,False
43,79,197,669209,79,False
43,79,199,676003,79,False
43,83,89,317641,43,False
43,83,97,346193,43,False
43,83,101,360469,43,False
43,83,103,367607,43,False
43,83,107,381883,43,False
43,83,109,389021,43,False
43,83,113,403297,43,False
43,83,127,453263,43,False
43,83,131,467539,43,False
43,83,137,488953,43,False
43,83,139,496091,83,False
43,83,149,531781,43,False
43,83,151,538919,43,False
43,83,157,560333,43,False
43,83,163,581747,83,False
43,83,167,596023,83,False
43,83,173,617437,43,False
43,83,179,638851,43,False
43,83,181,645989,43,False
43,83,191,681679,43,False
43,83,193,688817,43,False
43,83,197,703093,83,False
43,83,199,710231,83,False
43,89,97,371219,43,False
43,89,101,386527,43,False
43,89,103,394181,43,False
43,89,107,409489,43,False
43,89,109,417143,43,False
43,89,113,432451,43,False
43,89,127,486029,43,False
43,89,131,501337,43,False
43,89,137,524299,43,False
43,89,139,531953,43,False
43,89,149,570223,43,False
43,89,151,577877,43,False
43,89,157,600839,43,False
43,89,163,623801,43,False
43,89,167,639109,43,False
43,89,173,662071,43,False
43,89,179,685033,89,False
43,89,181,692687,89,False
43,89,191,730957,3827,True
43,89,193,738611,43,False
43,89,197,753919,89,False
43,89,199,761573,89,False
43,97,101,421271,43,False
43,97,103,429613,43,False
43,97,107,446297,43,False
43,97,109,454639,43,False
43,97,113,471323,97,False
43,97,127,529717,43,False
43,97,131,546401,43,False
43,97,137,571427,43,False
43,97,139,579769,139,False
43,97,149,621479,43,False
43,97,151,629821,43,False
43,97,157,654847,43,False
43,97,163,679873,43,False
43,97,167,696557,97,False
43,97,173,721583,43,False
43,97,179,746609,43,False
43,97,181,754951,181,False
43,97,191,796661,43,False
43,97,193,805003,97,False
43,97,197,821687,97,False
43,97,199,830029,43,False
43,101,103,447329,101,False
43,101,107,464701,43,False
43,101,109,473387,43,False
43,101,113,490759,43,False
43,101,127,551561,43,False
43,101,131,568933,43,False
43,101,137,594991,43,False
43,101,139,603677,43,False
43,101,149,647107,43,False
43,101,151,655793,101,False
43,101,157,681851,43,False
43,101,163,707909,43,False
43,101,167,725281,4343,True
43,101,173,751339,43,False
43,101,179,777397,43,False
43,101,181,786083,43,False
43,101,191,829513,43,False
43,101,193,838199,43,False
43,101,197,855571,101,False
43,101,199,864257,43,False
43,103,107,473903,43,False
43,103,109,482761,43,False
43,103,113,500477,43,False
43,103,127,562483,4429,True
43,103,131,580199,43,False
43,103,137,606773,4429,True
43,103,139,615631,103,False
43,103,149,659921,43,False
43,103,151,668779,103,False
43,103,157,695353,43,False
43,103,163,721927,103,False
43,103,167,739643,43,False
43,103,173,766217,43,False
43,103,179,792791,43,False
43,103,181,801649,43,False
43,103,191,845939,43,False
43,103,193,854797,43,False
43,103,197,872513,43,False
43,103,199,881371,43,False
43,107,109,501509,109,False
43,107,113,519913,43,False
43,107,127,584327,4601,True
43,107,131,602731,43,False
43,107,137,630337,43,False
43,107,139,639539,43,False
43,107,149,685549,43,False
43,107,151,694751,43,False
43,107,157,722357,43,False
43,107,163,749963,43,False
43,107,167,768367,43,False
43,107,173,795973,43,False
43,107,179,823579,43,False
43,107,181,832781,43,False
43,107,191,878791,43,False
43,107,193,887993,43,False
43,107,197,906397,43,False
43,107,199,915599,43,False
43,109,113,529631,43,False
43,109,127,595249,109,False
43,109,131,613997,43,False
43,109,137,642119,43,False
43,109,139,651493,43,False
43,109,149,698363,43,False
43,109,151,707737,151,False
43,109,157,735859,43,False
43,109,163,763981,109,False
43,109,167,782729,43,False
43,109,173,810851,173,False
43,109,179,838973,43,False
43,109,181,848347,43,False
43,109,191,895217,43,False
43,109,193,904591,43,False
43,109,197,923339,43,False
43,109,199,932713,43,False
43,113,127,617093,43,False
43,113,131,636529,43,False
43,113,137,665683,43,False
43,113,139,675401,43,False
43,113,149,723991,43,False
43,113,151,733709,113,False
43,113,157,762863,43,False
43,113,163,792017,113,False
43,113,167,811453,43,False
43,113,173,840607,43,False
43,113,179,869761,113,False
43,113,181,879479,43,False
43,113,191,928069,43,False
43,113,193,937787,43,False
43,113,197,957223,43,False
43,113,199,966941,43,False
43,127,131,715391,43,False
43,127,137,748157,43,False
43,127,139,759079,43,False
43,127,149,813689,43,False
43,127,151,824611,127,False
43,127,157,857377,43,False
43,127,163,890143,43,False
43,127,167,911987,43,False
43,127,173,944753,43,False
43,127,179,977519,43,False
43,127,181,988441,43,False
43,127,191,1043051,43,False
43,127,193,1053973,43,False
43,127,197,1075817,43,False
43,127,199,1086739,43,False
43,131,137,771721,43,False
43,131,139,782987,43,False
43,131,149,839317,43,False
43,131,151,850583,43,False
43,131,157,884381,43,False
43,131,163,918179,43,False
43,131,167,940711,43,False
43,131,173,974509,43,False
43,131,179,1008307,43,False
43,131,181,1019573,131,False
43,131,191,1075903,43,False
43,131,193,1087169,43,False
43,131,197,1109701,43,False
43,131,199,1120967,43,False
43,137,139,818849,137,False
43,137,149,877759,43,False
43,137,151,889541,5891,True
43,137,157,924887,43,False
43,137,163,960233,43,False
43,137,167,983797,43,False
43,137,173,1019143,5891,True
43,137,179,1054489,43,False
43,137,181,1066271,43,False
43,137,191,1125181,43,False
43,137,193,1136963,43,False
43,137,197,1160527,43,False
43,137,199,1172309,43,False
43,139,149,890573,43,False
43,139,151,902527,43,False
43,139,157,938389,43,False
43,139,163,974251,43,False
43,139,167,998159,43,False
43,139,173,1034021,43,False
43,139,179,1069883,43,False
43,139,181,1081837,181,False
43,139,191,1141607,139,False
43,139,193,1153561,43,False
43,139,197,1177469,43,False
43,139,199,1189423,139,False
43,149,151,967457,151,False
43,149,157,1005899,43,False
43,149,163,1044341,43,False
43,149,167,1069969,43,False
43,149,173,1108411,43,False
43,149,179,1146853,43,False
43,149,181,1159667,43,False
43,149,191,1223737,43,False
43,149,193,1236551,43,False
43,149,197,1262179,43,False
43,149,199,1274993,149,False
43,151,157,1019401,43,False
43,151,163,1058359,43,False
43,151,167,1084331,43,False
43,151,173,1123289,43,False
43,151,179,1162247,43,False
43,151,181,1175233,43,False
43,151,191,1240163,43,False
43,151,193,1253149,43,False
43,151,197,1279121,43,False
43,151,199,1292107,43,False
43,157,163,1100413,43,False
43,157,167,1127417,43,False
43,157,173,1167923,173,False
43,157,179,1208429,157,False
43,157,181,1221931,43,False
43,157,191,1289441,43,False
43,157,193,1302943,43,False
43,157,197,1329947,43,False
43,157,199,1343449,43,False
43,163,167,1170503,43,False
43,163,173,1212557,43,False
43,163,179,1254611,43,False
43,163,181,1268629,43,False
43,163,191,1338719,43,False
43,163,193,1352737,43,False
43,163,197,1380773,43,False
43,163,199,1394791,43,False
43,167,173,1242313,43,False
43,167,179,1285399,43,False
43,167,181,1299761,43,False
43,167,191,1371571,43,False
43,167,193,1385933,43,False
43,167,197,1414657,43,False
43,167,199,1429019,43,False
43,173,179,1331581,43,False
43,173,181,1346459,43,False
43,173,191,1420849,43,False
43,173,193,1435727,43,False
43,173,197,1465483,43,False
43,173,199,1480361,43,False
43,179,181,1393157,179,False
43,179,191,1470127,43,False
43,179,193,1485521,43,False
43,179,197,1516309,7697,True
43,179,199,1531703,43,False
43,181,191,1486553,43,False
43,181,193,1502119,43,False
43,181,197,1533251,43,False
43,181,199,1548817,43,False
43,191,193,1585109,191,False
43,191,197,1617961,43,False
43,191,199,1634387,43,False
43,193,197,1634903,193,False
43,193,199,1651501,43,False
43,197,199,1685729,197,False
47,53,59,146969,47,False
47,53,61,151951,53,False
47,53,67,166897,47,False
47,53,71,176861,71,False
47,53,73,181843,47,False
47,53,79,196789,2491,True
47,53,83,206753,83,False
47,53,89,221699,47,False
47,53,97,241627,53,False
47,53,101,251591,47,False
47,53,103,256573,47,False
47,53,107,266537,53,False
47,53,109,271519,47,False
47,53,113,281483,113,False
47,53,127,316357,47,False
47,53,131,326321,2491,True
47,53,137,341267,47,False
47,53,139,346249,47,False
47,53,149,371159,47,False
47,53,151,376141,47,False
47,53,157,391087,47,False
47,53,163,406033,47,False
47,53,167,415997,47,False
47,53,173,430943,47,False
47,53,179,445889,47,False
47,53,181,450871,53,False
47,53,191,475781,191,False
47,53,193,480763,53,False
47,53,197,490727,47,False
47,53,199,495709,47,False
47,59,61,169153,47,False
47,59,67,185791,47,False
47,59,71,196883,71,False
47,59,73,202429,47,False
47,59,79,219067,79,False
47,59,83,230159,59,False
47,59,89,246797,59,False
47,59,97,268981,47,False
47,59,101,280073,47,False
47,59,103,285619,59,False
47,59,107,296711,47,False
47,59,109,302257,47,False
47,59,113,313349,2773,True
47,59,127,352171,47,False
47,59,131,363263,59,False
47,59,137,379901,47,False
47,59,139,385447,47,False
47,59,149,413177,2773,True
47,59,151,418723,2773,True
47,59,157,435361,2773,True
47,59,163,451999,163,False
47,59,167,463091,59,False
47,59,173,479729,47,False
47,59,179,496367,47,False
47,59,181,501913,59,False
47,59,191,529643,59,False
47,59,193,535189,47,False
47,59,197,546281,197,False
47,59,199,551827,47,False
47,61,67,192089,47,False
47,61,71,203557,47,False
47,61,73,209291,47,False
47,61,79,226493,47,False
47,61,83,237961,47,False
47,61,89,255163,47,False
47,61,97,278099,47,False
47,61,101,289567,47,False
47,61,103,295301,47,False
47,61,107,306769,47,False
47,61,109,312503,47,False
47,61,113,323971,61,False
47,61,127,364109,47,False
47,61,131,375577,47,False
47,61,137,392779,47,False
47,61,139,398513,61,False
47,61,149,427183,47,False
47,61,151,432917,47,False
47,61,157,450119,47,False
47,61,163,467321,61,False
47,61,167,478789,61,False
47,61,173,495991,47,False
47,61,179,513193,179,False
47,61,181,518927,47,False
47,61,191,547597,191,False
47,61,193,553331,47,False
47,61,197,564799,47,False
47,61,199,570533,47,False
47,67,71,223579,47,False
47,67,73,229877,47,False
47,67,79,248771,47,False
47,67,83,261367,47,False
47,67,89,280261,47,False
47,67,97,305453,67,False
47,67,101,318049,101,False
47,67,103,324347,47,False
47,67,107,336943,67,False
47,67,109,343241,47,False
47,67,113,355837,47,False
47,67,127,399923,47,False
47,67,131,412519,67,False
47,67,137,431413,47,False
47,67,139,437711,47,False
47,67,149,469201,47,False
47,67,151,475499,47,False
47,67,157,494393,157,False
47,67,163,513287,47,False
47,67,167,525883,167,False
47,67,173,544777,47,False
47,67,179,563671,47,False
47,67,181,569969,47,False
47,67,191,601459,47,False
47,67,193,607757,67,False
47,67,197,620353,67,False
47,67,199,626651,47,False
47,71,73,243601,47,False
47,71,79,263623,47,False
47,71,83,276971,47,False
47,71,89,296993,47,False
47,71,97,323689,47,False
47,71,101,337037,47,False
47,71,103,343711,47,False
47,71,107,357059,71,False
47,71,109,363733,71,False
47,71,113,377081,47,False
47,71,127,423799,3337,True
47,71,131,437147,47,False
47,71,137,457169,47,False
47,71,139,463843,3337,True
47,71,149,497213,47,False
47,71,151,503887,151,False
47,71,157,523909,47,False
47,71,163,543931,47,False
47,71,167,557279,47,False
47,71,173,577301,47,False
47,71,179,597323,47,False
47,71,181,603997,47,False
47,71,191,637367,47,False
47,71,193,644041,47,False
47,71,197,657389,47,False
47,71,199,664063,47,False
47,73,79,271049,47,False
47,73,83,284773,47,False
47,73,89,305359,47,False
47,73,97,332807,47,False
47,73,101,346531,73,False
47,73,103,353393,47,False
47,73,107,367117,47,False
47,73,109,373979,73,False
47,73,113,387703,47,False
47,73,127,435737,127,False
47,73,131,449461,73,False
47,73,137,470047,73,False
47,73,139,476909,47,False
47,73,149,511219,149,False
47,73,151,518081,47,False
47,73,157,538667,47,False
47,73,163,559253,47,False
47,73,167,572977,47,False
47,73,173,593563,47,False
47,73,179,614149,3431,True
47,73,181,621011,47,False
47,73,191,655321,47,False
47,73,193,662183,47,False
47,73,197,675907,47,False
47,73,199,682769,73,False
47,79,83,308179,47,False
47,79,89,330457,47,False
47,79,97,360161,47,False
47,79,101,375013,47,False
47,79,103,382439,47,False
47,79,107,397291,47,False
47,79,109,404717,47,False
47,79,113,419569,47,False
47,79,127,471551,47,False
47,79,131,486403,47,False
47,79,137,508681,79,False
47,79,139,516107,47,False
47,79,149,553237,47,False
47,79,151,560663,47,False
47,79,157,582941,79,False
47,79,163,605219,47,False
47,79,167,620071,79,False
47,79,173,642349,47,False
47,79,179,664627,47,False
47,79,181,672053,47,False
47,79,191,709183,47,False
47,79,193,716609,47,False
47,79,197,731461,3713,True
47,79,199,738887,47,False
47,83,89,347189,47,False
47,83,97,378397,47,False
47,83,101,394001,47,False
47,83,103,401803,47,False
47,83,107,417407,47,False
47,83,109,425209,47,False
47,83,113,440813,47,False
47,83,127,495427,47,False
47,83,131,511031,47,False
47,83,137,534437,47,False
47,83,139,542239,139,False
47,83,149,581249,3901,True
47,83,151,589051,83,False
47,83,157,612457,47,False
47,83,163,635863,83,False
47,83,167,651467,83,False
47,83,173,674873,47,False
47,83,179,698279,47,False
47,83,181,706081,47,False
47,83,191,745091,47,False
47,83,193,752893,47,False
47,83,197,768497,47,False
47,83,199,776299,47,False
47,89,97,405751,47,False
47,89,101,422483,47,False
47,89,103,430849,47,False
47,89,107,447581,107,False
47,89,109,455947,47,False
47,89,113,472679,113,False
47,89,127,531241,89,False
47,89,131,547973,47,False
47,89,137,573071,47,False
47,89,139,581437,47,False
47,89,149,623267,4183,True
47,89,151,631633,47,False
47,89,157,656731,47,False
47,89,163,681829,89,False
47,89,167,698561,167,False
47,89,173,723659,89,False
47,89,179,748757,89,False
47,89,181,757123,181,False
47,89,191,798953,47,False
47,89,193,807319,47,False
47,89,197,824051,89,False
47,89,199,832417,4183,True
47,97,101,460459,47,False
47,97,103,469577,47,False
47,97,107,487813,47,False
47,97,109,496931,47,False
47,97,113,515167,47,False
47,97,127,578993,47,False
47,97,131,597229,47,False
47,97,137,624583,47,False
47,97,139,633701,47,False
47,97,149,679291,47,False
47,97,151,688409,47,False
47,97,157,715763,47,False
47,97,163,743117,47,False
47,97,167,761353,47,False
47,97,173,788707,47,False
47,97,179,816061,47,False
47,97,181,825179,47,False
47,97,191,870769,47,False
47,97,193,879887,97,False
47,97,197,898123,97,False
47,97,199,907241,47,False
47,101,103,488941,101,False
47,101,107,507929,47,False
47,101,109,517423,47,False
47,101,113,536411,113,False
47,101,127,602869,47,False
47,101,131,621857,47,False
47,101,137,650339,47,False
47,101,139,659833,47,False
47,101,149,707303,47,False
47,101,151,716797,101,False
47,101,157,745279,4747,True
47,101,163,773761,47,False
47,101,167,792749,47,False
47,101,173,821231,47,False
47,101,179,849713,47,False
47,101,181,859207,47,False
47,101,191,906677,47,False
47,101,193,916171,47,False
47,101,197,935159,197,False
47,101,199,944653,47,False
47,103,107,517987,47,False
47,103,109,527669,47,False
47,103,113,547033,47,False
47,103,127,614807,47,False
47,103,131,634171,47,False
47,103,137,663217,47,False
47,103,139,672899,47,False
47,103,149,721309,47,False
47,103,151,730991,47,False
47,103,157,760037,47,False
47,103,163,789083,47,False
47,103,167,808447,47,False
47,103,173,837493,47,False
47,103,179,866539,47,False
47,103,181,876221,47,False
47,103,191,924631,47,False
47,103,193,934313,103,False
47,103,197,953677,47,False
47,103,199,963359,47,False
47,107,109,548161,109,False
47,107,113,568277,47,False
47,107,127,638683,47,False
47,107,131,658799,47,False
47,107,137,688973,47,False
47,107,139,699031,107,False
47,107,149,749321,47,False
47,107,151,759379,47,False
47,107,157,789553,157,False
47,107,163,819727,47,False
47,107,167,839843,47,False
47,107,173,870017,47,False
47,107,179,900191,107,False
47,107,181,910249,47,False
47,107,191,960539,47,False
47,107,193,970597,193,False
47,107,197,990713,47,False
47,107,199,1000771,47,False
47,109,113,578899,47,False
47,109,127,650621,47,False
47,109,131,671113,109,False
47,109,137,701851,47,False
47,109,139,712097,47,False
47,109,149,763327,47,False
47,109,151,773573,47,False
47,109,157,804311,47,False
47,109,163,835049,5123,True
47,109,167,855541,109,False
47,109,173,886279,47,False
47,109,179,917017,47,False
47,109,181,927263,109,False
47,109,191,978493,47,False
47,109,193,988739,47,False
47,109,197,1009231,197,False
47,109,199,1019477,47,False
47,113,127,674497,47,False
47,113,131,695741,47,False
47,113,137,727607,47,False
47,113,139,738229,47,False
47,113,149,791339,47,False
47,113,151,801961,151,False
47,113,157,833827,47,False
47,113,163,865693,47,False
47,113,167,886937,47,False
47,113,173,918803,47,False
47,113,179,950669,47,False
47,113,181,961291,47,False
47,113,191,1014401,47,False
47,113,193,1025023,47,False
47,113,197,1046267,47,False
47,113,199,1056889,47,False
47,127,131,781939,47,False
47,127,137,817753,47,False
47,127,139,829691,47,False
47,127,149,889381,149,False
47,127,151,901319,47,False
47,127,157,937133,5969,True
47,127,163,972947,47,False
47,127,167,996823,47,False
47,127,173,1032637,127,False
47,127,179,1068451,47,False
47,127,181,1080389,47,False
47,127,191,1140079,127,False
47,127,193,1152017,47,False
