n,factorization,omega,f,minimizers,above_sqrt,at_sqrt,equals_n_over_largest_prime
165,3*5*11,3,15,11 22 33 44,True,False,True
166,2*83,2,2,83,False,False,True
168,2^3*3*7,3,21,8 32 40,True,False,False
169,13^2,1,13,13 26 39 52 65 78,False,True,True
170,2*5*17,3,5,34,False,False,False
171,3^2*19,2,9,19 38 57 76,False,False,True
172,2^2*43,2,4,43 86,False,False,True
174,2*3*29,3,6,29 58 87,False,False,True
175,5^2*7,2,7,25 50,False,False,False
176,2^4*11,2,4,44,False,False,False
177,3*59,2,3,59,False,False,True
178,2*89,2,2,89,False,False,True
180,2^2*3^2*5,3,10,18,False,False,False
182,2*7*13,3,14,13,True,False,True
183,3*61,2,3,61,False,False,True
184,2^3*23,2,8,23 46 69 92,False,False,True
185,5*37,2,5,37 74,False,False,True
186,2*3*31,3,2,93,False,False,False
187,11*17,2,11,17 34 51 68 85,False,False,True
188,2^2*47,2,4,47 94,False,False,True
189,3^3*7,2,7,27 81,False,False,False
190,2*5*19,3,5,38,False,False,False
192,2^6*3,2,3,64,False,False,False
194,2*97,2,2,97,False,False,True
195,3*5*13,3,13,30,False,False,False
196,2^2*7^2,2,4,49 98,False,False,False
198,2*3^2*11,3,6,33,False,False,False
200,2^3*5^2,2,8,25 50 75,False,False,False
201,3*67,2,3,67,False,False,True
202,2*101,2,2,101,False,False,True
203,7*29,2,7,29 58 87,False,False,True
204,2^2*3*17,3,3,68,False,False,False
205,5*41,2,5,41 82,False,False,True
206,2*103,2,2,103,False,False,True
207,3^2*23,2,9,23 46 69 92,False,False,True
208,2^4*13,2,13,16 64 80,False,False,False
209,11*19,2,11,19 38 57 76 95,False,False,True
210,2*3*5*7,4,14,30,False,False,False
212,2^2*53,2,4,53 106,False,False,True
213,3*71,2,3,71,False,False,True
214,2*107,2,2,107,False,False,True
215,5*43,2,5,43 86,False,False,True
216,2^3*3^3,2,8,27 54 81 108,False,False,False
217,7*31,2,7,31 62 93,False,False,True
218,2*109,2,2,109,False,False,True
219,3*73,2,3,73,False,False,True
220,2^2*5*11,3,4,55,False,False,False
221,13*17,2,13,17 34 51 68 85 102,False,False,True
222,2*3*37,3,2,111,False,False,False
224,2^5*7,2,7,32 64 96,False,False,False
225,3^2*5^2,2,5,90,False,False,False
226,2*113,2,2,113,False,False,True
228,2^2*3*19,3,4,57,False,False,False
230,2*5*23,3,10,23 46 69 92 115,False,False,True
231,3*7*11,3,3,77,False,False,False
232,2^3*29,2,8,29 58 87 116,False,False,True
234,2*3^2*13,3,6,39,False,False,False
235,5*47,2,5,47 94,False,False,True
236,2^2*59,2,4,59 118,False,False,True
237,3*79,2,3,79,False,False,True
238,2*7*17,3,2,119,False,False,False
240,2^4*3*5,3,3,80,False,False,False
242,2*11^2,2,2,121,False,False,False
243,3^5,1,3,81,False,False,False
244,2^2*61,2,4,61 122,False,False,True
245,5*7^2,2,5,49 98,False,False,False
246,2*3*41,3,3,82,False,False,False
247,13*19,2,13,19 38 57 76 95 114,False,False,True
248,2^3*31,2,8,31 62 93 124,False,False,True
249,3*83,2,3,83,False,False,True
250,2*5^3,2,2,125,False,False,False
252,2^2*3^2*7,3,9,56,False,False,False
253,11*23,2,11,23 46 69 92 115,False,False,True
254,2*127,2,2,127,False,False,True
255,3*5*17,3,15,17 34 51 68 85 102 119,False,False,True
256,2^8,1,2,128,False,False,False
258,2*3*43,3,6,43 86 129,False,False,True
259,7*37,2,7,37 74 111,False,False,True
260,2^2*5*13,3,20,13 26 39 52 65 78 91,True,False,True
261,3^2*29,2,9,29 58 87 116,False,False,True
262,2*131,2,2,131,False,False,True
264,2^3*3*11,3,12,132,False,False,False
265,5*53,2,5,53 106,False,False,True
266,2*7*19,3,14,19 38 57 76 95 114 133,False,False,True
267,3*89,2,3,89,False,False,True
268,2^2*67,2,4,67 134,False,False,True
270,2*3^3*5,3,10,27,False,False,False
272,2^4*17,2,4,136,False,False,False
273,3*7*13,3,21,13 26 39 52 65 78 91 104,True,False,True
274,2*137,2,2,137,False,False,True
275,5^2*11,2,11,25 125,False,False,False
276,2^2*3*23,3,12,23 46 69 92 115 138,False,False,True
278,2*139,2,2,139,False,False,True
279,3^2*31,2,9,31 62 93 124,False,False,True
280,2^3*5*7,3,35,8 16 24,True,False,False
282,2*3*47,3,6,47 94 141,False,False,True
284,2^2*71,2,4,71 142,False,False,True
285,3*5*19,3,15,19 38 57 76 95 114 133,False,False,True
286,2*11*13,3,11,26,False,False,False
287,7*41,2,7,41 82 123,False,False,True
288,2^5*3^2,2,9,32,False,False,False
289,17^2,1,17,17 34 51 68 85 102 119 136,False,True,True
290,2*5*29,3,10,29 58 87 116 145,False,False,True
291,3*97,2,3,97,False,False,True
292,2^2*73,2,4,73 146,False,False,True
294,2*3*7^2,3,6,49 98 147,False,False,False
295,5*59,2,5,59 118,False,False,True
296,2^3*37,2,8,37 74 111 148,False,False,True
297,3^3*11,2,9,33,False,False,False
298,2*149,2,2,149,False,False,True
299,13*23,2,13,23 46 69 92 115 138,False,False,True
300,2^2*3*5^2,3,12,25 50 125 150,False,False,False
301,7*43,2,7,43 86 129,False,False,True
302,2*151,2,2,151,False,False,True
303,3*101,2,3,101,False,False,True
304,2^4*19,2,8,38 152,False,False,False
305,5*61,2,5,61 122,False,False,True
306,2*3^2*17,3,18,17,True,False,True
308,2^2*7*11,3,4,154,False,False,False
309,3*103,2,3,103,False,False,True
310,2*5*31,3,2,155,False,False,False
312,2^3*3*13,3,6,52,False,False,False
314,2*157,2,2,157,False,False,True
315,3^2*5*7,3,5,63,False,False,False
316,2^2*79,2,4,79 158,False,False,True
318,2*3*53,3,6,53 106 159,False,False,True
319,11*29,2,11,29 58 87 116 145,False,False,True
320,2^6*5,2,4,160,False,False,False
321,3*107,2,3,107,False,False,True
322,2*7*23,3,2,161,False,False,False
323,17*19,2,17,19 38 57 76 95 114 133 152,False,False,True
324,2^2*3^4,2,4,81,False,False,False
325,5^2*13,2,5,65 130,False,False,False
326,2*163,2,2,163,False,False,True
327,3*109,2,3,109,False,False,True
328,2^3*41,2,8,41 82 123 164,False,False,True
329,7*47,2,7,47 94 141,False,False,True
330,2*3*5*11,4,6,55,False,False,False
332,2^2*83,2,4,83 166,False,False,True
333,3^2*37,2,9,37 74 111 148,False,False,True
334,2*167,2,2,167,False,False,True
335,5*67,2,5,67 134,False,False,True
336,2^4*3*7,3,16,84,False,False,False
338,2*13^2,2,2,169,False,False,False
339,3*113,2,3,113,False,False,True
340,2^2*5*17,3,17,80,False,False,False
341,11*31,2,11,31 62 93 124 155,False,False,True
342,2*3^2*19,3,6,171,False,False,False
343,7^3,1,7,49 98 147,False,False,False
344,2^3*43,2,4,86,False,False,False
345,3*5*23,3,15,23 46 69 92 115 138 161,False,False,True
346,2*173,2,2,173,False,False,True
348,2^2*3*29,3,4,87,False,False,False
350,2*5^2*7,3,14,25 50 75 100 125 150 175,False,False,False
351,3^3*13,2,13,27 81 108,False,False,False
352,2^5*11,2,4,88,False,False,False
354,2*3*59,3,6,59 118 177,False,False,True
355,5*71,2,5,71 142,False,False,True
356,2^2*89,2,4,89 178,False,False,True
357,3*7*17,3,21,17 34 51 68,True,False,True
358,2*179,2,2,179,False,False,True
360,2^3*3^2*5,3,10,36,False,False,False
361,19^2,1,19,19 38 57 76 95 114 133 152 171,False,True,True
362,2*181,2,2,181,False,False,True
363,3*11^2,2,3,121,False,False,False
364,2^2*7*13,3,28,13 26 169 182,True,False,True
365,5*73,2,5,73 146,False,False,True
366,2*3*61,3,6,61 122 183,False,False,True
368,2^4*23,2,8,46 92,False,False,False
369,3^2*41,2,3,123,False,False,False
370,2*5*37,3,2,185,False,False,False
371,7*53,2,7,53 106 159,False,False,True
372,2^2*3*31,3,4,93,False,False,False
374,2*11*17,3,11,34 68,False,False,False
375,3*5^3,2,3,125,False,False,False
376,2^3*47,2,8,47 94 141 188,False,False,True
377,13*29,2,13,29 58 87 116 145 174,False,False,True
378,2*3^3*7,3,14,27 54 81 108 135,False,False,False
380,2^2*5*19,3,20,19,True,False,True
381,3*127,2,3,127,False,False,True
382,2*191,2,2,191,False,False,True
384,2^7*3,2,3,128,False,False,False
385,5*7*11,3,35,11 22 121 132 143,True,False,True
386,2*193,2,2,193,False,False,True
387,3^2*43,2,9,43 86 129 172,False,False,True
388,2^2*97,2,4,97 194,False,False,True
390,2*3*5*13,4,10,39,False,False,False
391,17*23,2,17,23 46 69 92 115 138 161 184,False,False,True
392,2^3*7^2,2,8,49,False,False,False
393,3*131,2,3,131,False,False,True
394,2*197,2,2,197,False,False,True
395,5*79,2,5,79 158,False,False,True
396,2^2*3^2*11,3,9,132,False,False,False
398,2*199,2,2,199,False,False,True
399,3*7*19,3,21,19 38,True,False,True
400,2^4*5^2,2,16,25 125 150,False,False,False
402,2*3*67,3,6,67 134 201,False,False,True
403,13*31,2,13,31 62 93 124 155 186,False,False,True
404,2^2*101,2,4,101 202,False,False,True
405,3^4*5,2,5,81 162,False,False,False
406,2*7*29,3,14,29 58 87 116 145 174 203,False,False,True
407,11*37,2,11,37 74 111 148 185,False,False,True
408,2^3*3*17,3,12,68,False,False,False
410,2*5*41,3,10,41 82 123 164 205,False,False,True
411,3*137,2,3,137,False,False,True
412,2^2*103,2,4,103 206,False,False,True
413,7*59,2,7,59 118 177,False,False,True
414,2*3^2*23,3,9,138,False,False,False
415,5*83,2,5,83 166,False,False,True
416,2^5*13,2,8,208,False,False,False
417,3*139,2,3,139,False,False,True
418,2*11*19,3,22,19 38 57,True,False,True
420,2^2*3*5*7,4,21,160,True,False,False
422,2*211,2,2,211,False,False,True
423,3^2*47,2,9,47 94 141 188,False,False,True
424,2^3*53,2,8,53 106 159 212,False,False,True
425,5^2*17,2,17,25 50 125 150 175,False,False,False
426,2*3*71,3,6,71 142 213,False,False,True
427,7*61,2,7,61 122 183,False,False,True
428,2^2*107,2,4,107 214,False,False,True
429,3*11*13,3,13,165,False,False,False
430,2*5*43,3,5,172,False,False,False
432,2^4*3^3,2,8,108 162,False,False,False
434,2*7*31,3,14,31 62 93 124 155 186 217,False,False,True
435,3*5*29,3,15,29 58 87 116 145 174 203,False,False,True
436,2^2*109,2,4,109 218,False,False,True
437,19*23,2,19,23 46 69 92 115 138 161 184 207,False,False,True
438,2*3*73,3,3,146,False,False,False
440,2^3*5*11,3,5,176,False,False,False
441,3^2*7^2,2,9,49 98,False,False,False
442,2*13*17,3,13,34 136,False,False,False
444,2^2*3*37,3,3,148,False,False,False
445,5*89,2,5,89 178,False,False,True
446,2*223,2,2,223,False,False,True
447,3*149,2,3,149,False,False,True
448,2^6*7,2,7,64 128 192,False,False,False
450,2*3^2*5^2,3,10,45 180,False,False,False
451,11*41,2,11,41 82 123 164 205,False,False,True
452,2^2*113,2,4,113 226,False,False,True
453,3*151,2,3,151,False,False,True
454,2*227,2,2,227,False,False,True
455,5*7*13,3,35,13 26 39 52 65 78 91 104 117 169 182 195 208 221,True,False,True
456,2^3*3*19,3,19,192,False,False,False
458,2*229,2,2,229,False,False,True
459,3^3*17,2,9,51 102 153,False,False,False
460,2^2*5*23,3,10,138,False,False,False
462,2*3*7*11,4,14,165,False,False,False
464,2^4*29,2,16,29 58 87 116 145 174 203 232,False,False,True
465,3*5*31,3,3,155,False,False,False
466,2*233,2,2,233,False,False,True
468,2^2*3^2*13,3,4,117,False,False,False
469,7*67,2,7,67 134 201,False,False,True
470,2*5*47,3,10,47 94 141 188 235,False,False,True
471,3*157,2,3,157,False,False,True
472,2^3*59,2,8,59 118 177 236,False,False,True
473,11*43,2,11,43 86 129 172 215,False,False,True
474,2*3*79,3,6,79 158 237,False,False,True
475,5^2*19,2,5,95,False,False,False
476,2^2*7*17,3,4,119,False,False,False
477,3^2*53,2,9,53 106 159 212,False,False,True
478,2*239,2,2,239,False,False,True
480,2^5*3*5,3,5,192,False,False,False
481,13*37,2,13,37 74 111 148 185 222,False,False,True
482,2*241,2,2,241,False,False,True
483,3*7*23,3,7,69 138 207,False,False,False
484,2^2*11^2,2,4,121 242,False,False,False
485,5*97,2,5,97 194,False,False,True
486,2*3^5,2,2,243,False,False,False
488,2^3*61,2,8,61 122 183 244,False,False,True
489,3*163,2,3,163,False,False,True
490,2*5*7^2,3,5,98,False,False,False
492,2^2*3*41,3,3,164,False,False,False
493,17*29,2,17,29 58 87 116 145 174 203 232,False,False,True
494,2*13*19,3,13,38 76,False,False,False
495,3^2*5*11,3,33,90,True,False,False
496,2^4*31,2,16,31 62 93 124 155 186 217 248,False,False,True
497,7*71,2,7,71 142 213,False,False,True
498,2*3*83,3,6,83 166 249,False,False,True
500,2^2*5^3,2,4,125 250,False,False,False
