base_index	leaf_ordinal	status	selected_rotation	partition	selector_score	selector_capacities	objective	separation_rounds	cuts	denominator	support	W	U	block_maxima	detail
3	82	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	404567165484437135/72157404934571304	84269,5287,105714,5813	1	100	200	0	0	0	0		fully separated LP has no strict deficit
3	90	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	232165724064652039/36078702467285652	109138,6771,100482,6494	1	24	69	0	0	0	0		fully separated LP has no strict deficit
3	91	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	152948765390370787/24052468311523768	103963,6391,113785,6054	1	28	80	0	0	0	0		fully separated LP has no strict deficit
3	92	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	436044146128732883/72157404934571304	98969,6091,109402,5645	1	38	86	0	0	0	0		fully separated LP has no strict deficit
3	93	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	136262173952260225/24052468311523768	92425,5683,103359,5292	1	61	133	0	0	0	0		fully separated LP has no strict deficit
3	101	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	444311689330979539/72157404934571304	104065,6409,93810,6454	1	29	82	0	0	0	0		fully separated LP has no strict deficit
3	102	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	418966272393115523/72157404934571304	98969,6091,86518,6107	1	48	107	0	0	0	0		fully separated LP has no strict deficit
3	103	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	130569549373721105/24052468311523768	92425,5683,80475,5754	1	60	133	0	0	0	0		fully separated LP has no strict deficit
3	111	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	110720460387488951/18039351233642826	98852,6023,109973,6074	1	35	82	0	0	0	0		fully separated LP has no strict deficit
3	112	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	138967857020174513/24052468311523768	92425,5683,103359,5754	1	61	133	0	0	0	0		fully separated LP has no strict deficit
3	120	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	138967857020174513/24052468311523768	92425,5683,103359,5754	1	51	119	0	0	0	0		fully separated LP has no strict deficit
3	936	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	61499079561863291/9019675616821413	109280,6872,117399,6898	1	22	60	0	0	0	0		fully separated LP has no strict deficit
3	937	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	232165724064652039/36078702467285652	109138,6771,100482,6494	1	24	69	0	0	0	0		fully separated LP has no strict deficit
3	938	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	152948765390370787/24052468311523768	103963,6391,113785,6054	1	28	80	0	0	0	0		fully separated LP has no strict deficit
3	939	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	436044146128732883/72157404934571304	98969,6091,109402,5645	1	38	86	0	0	0	0		fully separated LP has no strict deficit
3	940	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	138034173311292341/24052468311523768	94429,5717,105782,5283	1	104	209	0	0	0	0		fully separated LP has no strict deficit
3	948	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	153232864983960685/24052468311523768	103237,6519,100979,6822	1	22	63	0	0	0	0		fully separated LP has no strict deficit
3	949	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	225879185013172061/36078702467285652	96430,6061,113785,6454	1	27	78	0	0	0	0		fully separated LP has no strict deficit
3	950	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	427894007574877241/72157404934571304	90251,5713,109402,6107	1	39	87	0	0	0	0		fully separated LP has no strict deficit
3	951	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	33718556113192085/6013117077880942	85740,5425,103359,5733	1	62	136	0	0	0	0		fully separated LP has no strict deficit
3	959	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	444311689330979539/72157404934571304	104065,6409,93810,6454	1	29	82	0	0	0	0		fully separated LP has no strict deficit
3	960	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	418966272393115523/72157404934571304	98969,6091,86518,6107	1	48	107	0	0	0	0		fully separated LP has no strict deficit
3	961	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	131897945669167353/24052468311523768	94457,5803,80475,5733	0.99999999999999789	63	137	0	0	0	0		fully separated LP has no strict deficit
3	969	UNRESOLVED	3	0-1-2-12,3-4-5-6-7,8-9-10-11	110720460387488951/18039351233642826	98852,6023,109973,6074	1	35	82	0	0	0	0		fully separated LP has no strict deficit
3	970	UNRESOLVED	5	0-10-11-12,1-2-3-4,5-6-7-8-9	140296253315620761/24052468311523768	94457,5803,103359,5733	1	60	131	0	0	0	0		fully separated LP has no strict deficit
3	978	UNRESOLVED	4	0-1-2-3,4-5-6-7-8,9-10-11-12	418880463201220891/72157404934571304	92417,5682,105402,5740	1	98	197	0	0	0	0		fully separated LP has no strict deficit
