source	row	p_num	q_num	w01_num	w10_num	w11_num	denominator	sign	cleared_deficit
candidates-650651.tsv	28	7764	999979011	999892414	999999981	999999995	1000000000	1	87203020862207628732741864838230961885241707169552610702434105767131267558656440363723078474280503800526882345161839014122485681388169919078942091420045740423467789157310441049629542943004315267392524167446531117879260023640297606223148994641260601788618845292645183927883808894671080543356022188749213485599414335228543922731720548648768817659915509170176000000000000000000000000000000
candidates-650651.tsv	29	11391	999923675	999896027	999999998	999999999	1000000000	1	6059085684615462076602921409055240482888348199228625763617596292699037358941944869269355198578546484042201243599010248322483211350705080236182121306814174821312379172910573325911427372674955767646837171853634178247622790390152583443160885389319146826783286898571376799982971782615555065088863680131984822989091840722623942897587394848109172155408279042000701934814453125000000000000000
candidates-650651.tsv	30	262	999960225	998336802	999999945	999999951	1000000000	1	18960155538242322646328790280594797625132536784443760765602344873346223031344008905717191670719335194512692419734779514856879697012752610740244802208628366207063013369273455428894225179595098686236349120523848562618041034127344376278073855335513656013861816511326168087460854296234385669717141494237287805979374951800855321319230752917290668521253283463168000000000000000000000000000000
candidates-650651.tsv	31	3262	999995531	999470117	999999997	999999998	1000000000	1	55114900055987146008266482415816108925854831616407133464063532283639438347076129362405456973505383492323273470242377653105260579579449637983750387430854330125965091323810684403748878590893384856469359829689511182580394624427666243671138316412685042076431025023981423723493661947458155575997247859009328142691216808608172260713624895730819667180645352194761104804528798434403201056768
candidates-650652.tsv	0	999999082	747	999999929	963230155	999999982	1000000000	1	24520667967548667483155132762734932258910854675817238784979994988624366154524658350959722095506891566880389395013875819229897054001841557301138242551359614595927653037258972452296730361153479941500378574908862329979904433041908245171218667303741780803752346919472010699114016130696108146294782139163327508153530994364821022926467384288547692662821766378975418925625133590174958545272832
candidates-650652.tsv	1	999998920	360	999999855	958009196	999999862	1000000000	1	54689726014042512197375588281834239335593479073461500617421138403621579942600402491395719810275996996805908792466756785194971920407205444014722859958546732666917653651757811542182613238838619384790638651929310772103417590040686478478544017008313951901492622999084425967158109602701960017459655691377218953586125879186927346105201265282503632851082183442432000000000000000000000000000000
candidates-650652.tsv	2	999996946	3340	999999973	992660917	999999999	1000000000	1	1155179497993126161461899676757422753424667607514597000809626620789999460217398228669821377250666705009511411053858488057441801965720200820635104343317479245151981359193609712963424298303021852448337491925367923636403683500058775680718358934820282557917319462798062893816627438017176985212988549365184844851996195364851585458618701814659455638635586052335439038983962624000000000000000
candidates-650652.tsv	3	999999021	1030	999999918	964906340	999999891	1000000000	1	93625612821148244048014740235480015364063293358497947157598648097630081595136057322412933337620411046570189376720267469326782294837775855145038194119614460501336644281065780384569662595373549916780909050674509308376538756963444195440722260413006608988213880263914961707730069812072744293276166194893117213549546545657654047396281497234487613140302860813182918824839104301000000000000000
candidates-650652.tsv	4	999998360	128	999999946	997445931	999999897	1000000000	1	64619068210504734447513568815873046693047959363914258084259702879082161495308180050989211821576309218026233392995209375529667169896022985008103980305584757409895109339405105421036479478104831745335064604484869598836033532671920405777419988847324532186527998317707587847778385086931898715569715390930512552744438086491246377713511534341238060920785311105024000000000000000000000000000000
candidates-650652.tsv	5	999999038	328	999999890	992206712	999999919	1000000000	1	61784015647948730811812387396892192103423572464921482230729615332489504706191739655087655227295285354620732871779998403828538286181256836949910439126311258103723514763174554665938990597295907628983423325254862648725171884732152149157044348839443057564873119408553400761093920570361330129208510525852801165856697601664979021728543706757817451269588078142506461326293610346643838486970368
