original_clause	status	remaining_clauses	seconds
229	RETAIN_CAP	2329	0.008024
230	RETAIN_CAP	2329	0.008947
231	RETAIN_CAP	2329	0.008913
232	RETAIN_CAP	2329	0.009940
233	RETAIN_CAP	2329	0.010102
234	RETAIN_CAP	2329	0.012679
235	RETAIN_CAP	2329	0.008352
236	RETAIN_CAP	2329	0.008377
237	RETAIN_CAP	2329	0.008505
238	RETAIN_CAP	2329	0.008070
239	RETAIN_CAP	2329	0.008029
240	RETAIN_CAP	2329	0.008364
241	RETAIN_CAP	2329	0.008745
242	RETAIN_CAP	2329	0.009090
243	RETAIN_CAP	2329	0.008808
244	RETAIN_CAP	2329	0.008376
245	RETAIN_CAP	2329	0.009025
246	RETAIN_CAP	2329	0.008105
247	RETAIN_CAP	2329	0.008187
248	RETAIN_CAP	2329	0.009277
249	RETAIN_CAP	2329	0.008115
250	RETAIN_CAP	2329	0.008794
251	RETAIN_CAP	2329	0.009355
252	RETAIN_CAP	2329	0.007848
253	RETAIN_CAP	2329	0.007759
254	RETAIN_CAP	2329	0.007672
255	RETAIN_CAP	2329	0.007611
256	RETAIN_CAP	2329	0.007765
257	RETAIN_CAP	2329	0.008493
258	RETAIN_CAP	2329	0.008655
259	RETAIN_CAP	2329	0.008529
260	RETAIN_CAP	2329	0.010054
261	RETAIN_CAP	2329	0.009893
262	RETAIN_CAP	2329	0.008695
263	RETAIN_CAP	2329	0.008748
264	RETAIN_CAP	2329	0.008024
265	RETAIN_CAP	2329	0.007849
266	RETAIN_CAP	2329	0.008909
267	RETAIN_CAP	2329	0.008835
268	RETAIN_CAP	2329	0.008204
269	RETAIN_CAP	2329	0.008298
270	RETAIN_CAP	2329	0.007969
271	RETAIN_CAP	2329	0.007788
272	RETAIN_CAP	2329	0.008029
273	RETAIN_CAP	2329	0.007819
274	RETAIN_CAP	2329	0.007863
275	RETAIN_CAP	2329	0.007978
276	RETAIN_CAP	2329	0.008013
277	RETAIN_CAP	2329	0.007971
278	RETAIN_CAP	2329	0.013497
279	RETAIN_CAP	2329	0.013937
280	RETAIN_CAP	2329	0.014087
281	RETAIN_CAP	2329	0.009022
282	RETAIN_CAP	2329	0.009312
283	RETAIN_CAP	2329	0.009087
284	RETAIN_CAP	2329	0.008366
285	RETAIN_CAP	2329	0.009032
286	RETAIN_CAP	2329	0.008687
287	RETAIN_CAP	2329	0.009216
288	RETAIN_CAP	2329	0.009003
289	RETAIN_CAP	2329	0.007667
290	RETAIN_CAP	2329	0.009573
291	RETAIN_CAP	2329	0.008145
292	RETAIN_CAP	2329	0.010357
293	RETAIN_CAP	2329	0.008000
294	RETAIN_CAP	2329	0.009092
295	RETAIN_CAP	2329	0.009072
296	RETAIN_CAP	2329	0.008131
297	RETAIN_CAP	2329	0.009377
298	RETAIN_CAP	2329	0.008797
299	RETAIN_CAP	2329	0.007794
300	RETAIN_CAP	2329	0.007917
301	RETAIN_CAP	2329	0.008561
302	RETAIN_CAP	2329	0.007839
303	RETAIN_CAP	2329	0.008421
304	RETAIN_CAP	2329	0.007807
305	RETAIN_CAP	2329	0.007733
306	RETAIN_CAP	2329	0.007891
307	RETAIN_CAP	2329	0.008283
308	RETAIN_CAP	2329	0.007854
309	RETAIN_CAP	2329	0.009130
310	RETAIN_CAP	2329	0.008530
311	RETAIN_CAP	2329	0.008536
312	RETAIN_CAP	2329	0.008206
313	RETAIN_CAP	2329	0.008493
314	RETAIN_CAP	2329	0.008271
315	RETAIN_CAP	2329	0.008223
316	RETAIN_CAP	2329	0.007640
317	RETAIN_CAP	2329	0.007567
318	RETAIN_CAP	2329	0.007682
319	RETAIN_CAP	2329	0.007496
320	RETAIN_CAP	2329	0.007533
321	RETAIN_CAP	2329	0.007505
322	RETAIN_CAP	2329	0.007522
323	RETAIN_CAP	2329	0.007541
324	RETAIN_CAP	2329	0.007407
325	RETAIN_CAP	2329	0.007445
326	RETAIN_CAP	2329	0.007430
327	RETAIN_CAP	2329	0.007622
328	RETAIN_CAP	2329	0.008567
329	RETAIN_CAP	2329	0.009584
330	RETAIN_CAP	2329	0.010769
331	RETAIN_CAP	2329	0.010596
332	RETAIN_CAP	2329	0.009429
333	RETAIN_CAP	2329	0.008078
334	RETAIN_CAP	2329	0.008197
335	RETAIN_CAP	2329	0.009221
336	RETAIN_CAP	2329	0.008990
337	RETAIN_CAP	2329	0.008790
338	RETAIN_CAP	2329	0.009001
339	RETAIN_CAP	2329	0.007967
340	RETAIN_CAP	2329	0.008624
341	RETAIN_CAP	2329	0.007950
342	RETAIN_CAP	2329	0.008066
343	RETAIN_CAP	2329	0.008705
344	RETAIN_CAP	2329	0.011572
345	RETAIN_CAP	2329	0.008934
346	RETAIN_CAP	2329	0.007928
347	RETAIN_CAP	2329	0.008997
348	RETAIN_CAP	2329	0.008901
349	RETAIN_CAP	2329	0.008612
350	RETAIN_CAP	2329	0.008486
351	RETAIN_CAP	2329	0.008237
352	RETAIN_CAP	2329	0.009072
353	RETAIN_CAP	2329	0.008950
354	RETAIN_CAP	2329	0.008639
355	RETAIN_CAP	2329	0.008859
