base_index	leaf_ordinal	status	partition	partition_rank	objective	source_clauses	weights	support	denominator	W	U	block_maxima	partitions_tested	detail
3	90	UNRESOLVED	0-1,2-3,4-5,6-7,8-10,9-12,11	-1	0.999999999999998			0	0	0	0		73	no frozen partition produced exact deficit
3	91	UNRESOLVED	0-2,1-8,3-4,5-6,7-9,10-11,12	-1	0.99999999999980516			0	0	0	0		73	no frozen partition produced exact deficit
3	92	UNRESOLVED	0-1,2-3,4-5,6-8,7-11,9-10,12	-1	0.99999999999993505			0	0	0	0		73	no frozen partition produced exact deficit
3	93	UNRESOLVED	0-1,2-3,4-6,5-11,7-8,9-10,12	-1	0.99999999999996336			0	0	0	0		73	no frozen partition produced exact deficit
3	94	UNRESOLVED	0-12,1-2,3-4,5-6,7-8,9-10,11	-1	0.99999999999974054			0	0	0	0		73	no frozen partition produced exact deficit
3	101	UNRESOLVED	0-1,2-3,4-5,6-7,8-10,9-12,11	-1	0.99999999999991873			0	0	0	0		73	no frozen partition produced exact deficit
3	102	UNRESOLVED	0-2,1-4,3-5,6-7,8-9,10-11,12	-1	0.99999999999999867			0	0	0	0		73	no frozen partition produced exact deficit
3	103	UNRESOLVED	0-12,1-2,3-4,5-6,7-8,9,10-11	-1	0.99999999999997424			0	0	0	0		73	no frozen partition produced exact deficit
3	111	UNRESOLVED	0-2,1-3,4-5,6-7,8-9,10-11,12	-1	1			0	0	0	0		73	no frozen partition produced exact deficit
3	112	UNRESOLVED	0-2,1-3,4-5,6-7,8-9,10-11,12	-1	1			0	0	0	0		73	no frozen partition produced exact deficit
3	113	UNRESOLVED	0-1,2-3,4-9,5-6,7-8,10-11,12	-1	0.99999999999990885			0	0	0	0		74	no frozen partition produced exact deficit
3	120	UNRESOLVED	0-1,2-3,4-10,5-6,7-8,9-11,12	-1	0.99999999999992284			0	0	0	0		73	no frozen partition produced exact deficit
3	121	CERTIFIED_DEFICIT	0-1,2-3,4-5,6-8,7-10,9-11,12	66	0.99404761904761108	1199,1207,1215,1217,1219,1221,1223,1251,1263,1265,1273,1279,1293,1321,1335,1457,1471,1499,1513,1527,1529,1541,1569,1571,1573,1577,1585,1597,1601,1605,1613,1615,1619,1621,1649,1661,1663,1671,1677,1691,1719,1733,1917,1927,1969,1971,1973,1975,1983,1985,2001,2003,2011,2013,2015,2017,2019,2047,2059,2061,2069,2075,2089,2117,2131,2253,2267,2295,2309,2315,2323,2325,2337,2365,2367,2369,2371,2381,2399,2409,2411,2413,2417,2445,2459,2467,2473,2487,2515,2529	39,45,84,70,81,84,84,5,2,20,14,59,14,25,59,59,25,14,59,20,2,5,84,84,81,84,45,39,39,45,84,70,84,84,5,2,20,14,59,14,25,59,14,2,84,81,70,84,45,39,39,45,84,70,81,84,84,5,2,20,14,59,14,25,59,59,25,14,59,14,20,2,5,84,84,81,70,45,39,84,70,81,84,5,20,14,59,14,25,59	90	4096	4110	4089	0,0,503,783,1092,1123,588	67	exact integerized pair-choice deficit
3	128	UNRESOLVED	0-1,2-3,4-10,5-6,7-8,9-11,12	-1	0.99999999999986999			0	0	0	0		74	no frozen partition produced exact deficit
