chart	family	value	x	y	r	h	coefficient
cycle_zero_cycle_dominant	cycle_zero	3	0	0	2	1	2
cycle_zero_cycle_dominant	cycle_zero	3	1	0	0	0	-2
cycle_zero_cycle_dominant	cycle_zero	3	1	0	1	0	2
cycle_zero_cycle_dominant	cycle_zero	3	1	0	1	1	2
cycle_zero_cycle_dominant	cycle_zero	3	1	0	2	1	-2
cycle_zero_cycle_dominant	cycle_zero	4	0	0	1	0	6
cycle_zero_trans_dominant	cycle_zero	0	1	0	0	0	6
cycle_zero_trans_dominant	cycle_zero	0	1	0	1	1	-6
cycle_zero_trans_dominant	cycle_zero	1	0	0	0	0	2
cycle_zero_trans_dominant	cycle_zero	1	0	0	1	0	-2
cycle_zero_trans_dominant	cycle_zero	1	0	0	1	1	-2
cycle_zero_trans_dominant	cycle_zero	1	0	0	2	1	2
cycle_zero_trans_dominant	cycle_zero	1	0	1	1	0	6
cycle_zero_trans_dominant	cycle_zero	1	0	1	2	1	-6
cycle_zero_trans_dominant	cycle_zero	1	1	0	0	0	-2
cycle_zero_trans_dominant	cycle_zero	1	1	0	1	0	2
cycle_zero_trans_dominant	cycle_zero	1	1	0	1	1	2
cycle_zero_trans_dominant	cycle_zero	1	1	0	2	1	-2
cycle_zero_trans_dominant	cycle_zero	1	1	1	1	0	-6
cycle_zero_trans_dominant	cycle_zero	1	1	1	2	1	6
cycle_zero_trans_dominant	cycle_zero	2	0	0	0	0	2
cycle_zero_trans_dominant	cycle_zero	2	0	0	1	0	4
cycle_zero_trans_dominant	cycle_zero	2	0	0	1	1	-2
cycle_zero_trans_dominant	cycle_zero	2	0	0	2	1	-4
cycle_zero_trans_dominant	cycle_zero	2	0	1	1	0	-6
cycle_zero_trans_dominant	cycle_zero	2	0	1	2	1	6
cycle_zero_trans_dominant	cycle_zero	2	1	0	0	0	-2
cycle_zero_trans_dominant	cycle_zero	2	1	0	1	0	-4
cycle_zero_trans_dominant	cycle_zero	2	1	0	1	1	2
cycle_zero_trans_dominant	cycle_zero	2	1	0	2	1	4
cycle_zero_trans_dominant	cycle_zero	2	1	1	1	0	6
cycle_zero_trans_dominant	cycle_zero	2	1	1	2	1	-6
cycle_zero_trans_dominant	cycle_zero	3	0	0	0	0	2
cycle_zero_trans_dominant	cycle_zero	3	0	0	1	0	-2
cycle_zero_trans_dominant	cycle_zero	3	0	0	1	1	-2
cycle_zero_trans_dominant	cycle_zero	3	0	0	2	1	2
cycle_zero_trans_dominant	cycle_zero	3	1	0	0	0	-2
cycle_zero_trans_dominant	cycle_zero	3	1	0	1	0	2
cycle_zero_trans_dominant	cycle_zero	3	1	0	1	1	2
cycle_zero_trans_dominant	cycle_zero	3	1	0	2	1	-2
cycle_zero_trans_dominant	cycle_zero	4	0	0	1	1	6
trans_equal_trans_dominant_pair_large	trans_equal	0	1	0	0	0	6
trans_equal_trans_dominant_pair_large	trans_equal	1	0	1	0	0	4
trans_equal_trans_dominant_pair_large	trans_equal	1	0	1	1	0	2
trans_equal_trans_dominant_pair_large	trans_equal	1	1	1	0	0	-4
trans_equal_trans_dominant_pair_large	trans_equal	1	1	1	1	0	-2
trans_equal_trans_dominant_pair_large	trans_equal	2	0	1	0	0	2
trans_equal_trans_dominant_pair_large	trans_equal	2	0	1	1	0	-2
trans_equal_trans_dominant_pair_large	trans_equal	2	1	1	0	0	-2
trans_equal_trans_dominant_pair_large	trans_equal	2	1	1	1	0	2
trans_equal_trans_dominant_pair_large	trans_equal	3	0	0	0	0	3
trans_equal_trans_dominant_pair_large	trans_equal	3	0	0	1	1	3
trans_equal_trans_dominant_pair_large	trans_equal	3	0	1	0	0	-3
trans_equal_trans_dominant_pair_large	trans_equal	3	0	1	1	1	-3
trans_equal_trans_dominant_pair_large	trans_equal	3	1	0	0	0	-3
trans_equal_trans_dominant_pair_large	trans_equal	3	1	0	1	1	-3
trans_equal_trans_dominant_pair_large	trans_equal	3	1	1	0	0	3
trans_equal_trans_dominant_pair_large	trans_equal	3	1	1	1	1	3
trans_equal_trans_dominant_pair_large	trans_equal	4	0	0	0	0	3
trans_equal_trans_dominant_pair_large	trans_equal	4	0	0	1	1	-3
trans_equal_trans_dominant_pair_large	trans_equal	4	0	1	0	0	-3
trans_equal_trans_dominant_pair_large	trans_equal	4	0	1	1	1	3
trans_equal_trans_dominant_pair_large	trans_equal	4	1	0	0	0	-3
trans_equal_trans_dominant_pair_large	trans_equal	4	1	0	1	1	3
trans_equal_trans_dominant_pair_large	trans_equal	4	1	1	0	0	3
trans_equal_trans_dominant_pair_large	trans_equal	4	1	1	1	1	-3
trans_equal_trans_dominant_singleton_large	trans_equal	0	1	0	0	0	6
trans_equal_trans_dominant_singleton_large	trans_equal	1	0	1	0	0	4
trans_equal_trans_dominant_singleton_large	trans_equal	1	0	1	1	0	-4
trans_equal_trans_dominant_singleton_large	trans_equal	1	1	1	0	0	-4
trans_equal_trans_dominant_singleton_large	trans_equal	1	1	1	1	0	4
trans_equal_trans_dominant_singleton_large	trans_equal	2	0	1	0	0	2
trans_equal_trans_dominant_singleton_large	trans_equal	2	0	1	1	0	4
trans_equal_trans_dominant_singleton_large	trans_equal	2	1	1	0	0	-2
trans_equal_trans_dominant_singleton_large	trans_equal	2	1	1	1	0	-4
trans_equal_trans_dominant_singleton_large	trans_equal	3	0	0	0	0	3
trans_equal_trans_dominant_singleton_large	trans_equal	3	0	0	1	1	3
trans_equal_trans_dominant_singleton_large	trans_equal	3	0	1	0	0	-3
trans_equal_trans_dominant_singleton_large	trans_equal	3	0	1	1	1	-3
trans_equal_trans_dominant_singleton_large	trans_equal	3	1	0	0	0	-3
trans_equal_trans_dominant_singleton_large	trans_equal	3	1	0	1	1	-3
trans_equal_trans_dominant_singleton_large	trans_equal	3	1	1	0	0	3
