z0	z1	z2	z3	z4	numerator	denominator
0	6	2	2	5	-1745	324
0	6	2	3	4	-45925	1944
0	6	2	4	3	2815	162
0	6	2	7	0	-20020	81
0	6	3	0	6	88795	7776
0	6	3	1	5	-17915	1944
0	6	3	2	4	-45925	1944
0	6	3	3	3	-16645	243
0	6	3	6	0	289970	243
0	6	4	0	5	5335	486
0	6	4	1	4	1945	1944
0	6	4	2	3	2815	162
0	6	4	5	0	-70070	81
0	6	5	0	4	2995	243
0	6	5	1	3	320	81
0	6	5	4	0	-70070	81
0	6	6	0	3	4210	243
0	6	6	3	0	289970	243
0	6	7	2	0	-20020	81
0	6	8	1	0	-5005	81
0	6	9	0	0	24155	729
0	7	0	0	8	156995	93312
0	7	0	1	7	78025	23328
0	7	0	2	6	9785	1296
0	7	0	3	5	20005	1944
0	7	0	4	4	17045	3888
0	7	0	5	3	1075	162
0	7	0	8	0	-715	81
0	7	1	0	7	78025	23328
0	7	1	1	6	875	648
0	7	1	2	5	-365	162
0	7	1	3	4	-10865	1944
0	7	1	4	3	-1160	81
0	7	1	7	0	10480	81
0	7	2	0	6	9785	1296
0	7	2	1	5	-365	162
0	7	2	2	4	6515	648
0	7	2	3	3	625	162
0	7	2	6	0	-20020	81
0	7	3	0	5	20005	1944
0	7	3	1	4	-10865	1944
0	7	3	2	3	625	162
0	7	3	5	0	-40040	81
0	7	4	0	4	17045	3888
0	7	4	1	3	-1160	81
0	7	4	4	0	99800	81
0	7	5	0	3	1075	162
0	7	5	3	0	-40040	81
0	7	6	2	0	-20020	81
0	7	7	1	0	10480	81
0	7	8	0	0	-715	81
0	8	0	0	7	120655	46656
0	8	0	1	6	3965	1296
0	8	0	2	5	6925	1296
0	8	0	3	4	21575	1944
0	8	0	4	3	260	81
0	8	0	7	0	-715	81
0	8	1	0	6	3965	1296
0	8	1	1	5	425	324
0	8	1	2	4	-5855	1296
0	8	1	3	3	-755	162
0	8	1	6	0	-5005	81
0	8	2	0	5	6925	1296
0	8	2	1	4	-5855	1296
0	8	2	2	3	-155	27
0	8	2	5	0	8765	27
0	8	3	0	4	21575	1944
0	8	3	1	3	-755	162
0	8	3	4	0	-25025	81
0	8	4	0	3	260	81
0	8	4	3	0	-25025	81
0	8	5	2	0	8765	27
0	8	6	1	0	-5005	81
0	8	7	0	0	-715	81
0	9	0	0	6	38795	11664
0	9	0	1	5	15025	5832
0	9	0	2	4	13825	2916
0	9	0	3	3	8735	729
0	9	0	6	0	24155	729
0	9	1	0	5	15025	5832
0	9	1	1	4	15205	5832
0	9	1	2	3	1675	486
0	9	1	5	0	-10010	243
0	9	2	0	4	13825	2916
0	9	2	1	3	1675	486
0	9	2	4	0	-25025	243
0	9	3	0	3	8735	729
0	9	3	3	0	169630	729
0	9	4	2	0	-25025	243
0	9	5	1	0	-10010	243
0	9	6	0	0	24155	729
0	10	0	0	5	3565	1458
0	10	0	1	4	7415	11664
0	10	0	2	3	2765	972
0	10	0	5	0	-1001	243
0	10	1	0	4	7415	11664
0	10	1	1	3	-440	243
0	10	1	4	0	8360	243
0	10	2	0	3	2765	972
0	10	2	3	0	-10010	243
0	10	3	2	0	-10010	243
0	10	4	1	0	8360	243
0	10	5	0	0	-1001	243
0	11	0	0	4	3605	1458
0	11	0	1	3	-40	243
0	11	0	4	0	-455	243
0	11	1	0	3	-40	243
0	11	1	3	0	-1820	243
0	11	2	2	0	2330	81
0	11	3	1	0	-1820	243
0	11	4	0	0	-455	243
0	12	0	0	3	3625	1458
0	12	0	3	0	6835	729
0	12	1	2	0	-455	243
0	12	2	1	0	-455	243
0	12	3	0	0	6835	729
0	13	0	2	0	-35	243
0	13	1	1	0	-70	243
0	13	2	0	0	-35	243
0	14	0	1	0	-5	243
0	14	1	0	0	-5	243
0	15	0	0	0	728	729
1	0	0	3	11	25	2304
1	0	0	4	10	25	3456
1	0	0	5	9	-625	5184
1	0	0	6	8	-185	486
1	0	0	7	7	-9295	11664
1	0	0	8	6	-5755	5832
1	0	0	9	5	-35	54
1	0	0	10	4	-200	729
1	0	0	11	3	-80	729
1	0	0	12	2	-10	243
1	0	1	2	11	5	384
1	0	1	3	10	-85	1728
1	0	1	4	9	-985	10368
1	0	1	5	8	-2525	5184
1	0	1	6	7	-21325	11664
1	0	1	7	6	-20525	5832
1	0	1	8	5	-95	24
1	0	1	9	4	-2000	729
1	0	1	10	3	-880	729
1	0	1	11	2	-40	81
1	0	2	1	11	5	384
1	0	2	2	10	95	1152
1	0	2	3	9	865	10368
1	0	2	4	8	2765	10368
1	0	2	5	7	2095	1944
1	0	2	6	6	3265	2916
1	0	2	7	5	25	6
1	0	2	8	4	2075	324
1	0	2	9	3	9425	1458
1	0	2	10	2	775	162
1	0	3	0	11	25	2304
1	0	3	1	10	-85	1728
1	0	3	2	9	865	10368
1	0	3	3	8	4315	15552
1	0	3	4	7	-3875	2916
1	0	3	5	6	-27035	5832
1	0	3	6	5	-305	18
1	0	3	7	4	-3140	243
1	0	3	8	3	-5155	486
1	0	3	9	2	-2200	243
1	0	4	0	10	25	3456
1	0	4	1	9	-985	10368
1	0	4	2	8	2765	10368
1	0	4	3	7	-3875	2916
1	0	4	4	6	-11245	23328
1	0	4	5	5	125	24
1	0	4	6	4	-30595	1944
1	0	4	7	3	-1510	243
1	0	4	8	2	-10	27
1	0	5	0	9	-625	5184
1	0	5	1	8	-2525	5184
1	0	5	2	7	2095	1944
1	0	5	3	6	-27035	5832
1	0	5	4	5	125	24
1	0	5	5	4	9595	324
1	0	5	6	3	1045	243
1	0	5	7	2	65	27
1	0	6	0	8	-185	486
1	0	6	1	7	-21325	11664
1	0	6	2	6	3265	2916
1	0	6	3	5	-305	18
1	0	6	4	4	-30595	1944
1	0	6	5	3	1045	243
1	0	6	6	2	-650	81
1	0	7	0	7	-9295	11664
1	0	7	1	6	-20525	5832
1	0	7	2	5	25	6
1	0	7	3	4	-3140	243
1	0	7	4	3	-1510	243
1	0	7	5	2	65	27
1	0	8	0	6	-5755	5832
1	0	8	1	5	-95	24
1	0	8	2	4	2075	324
1	0	8	3	3	-5155	486
1	0	8	4	2	-10	27
1	0	9	0	5	-35	54
1	0	9	1	4	-2000	729
1	0	9	2	3	9425	1458
1	0	9	3	2	-2200	243
1	0	10	0	4	-200	729
1	0	10	1	3	-880	729
1	0	10	2	2	775	162
1	0	11	0	3	-80	729
1	0	11	1	2	-40	81
1	0	12	0	2	-10	243
1	1	0	2	11	5	384
1	1	0	3	10	-85	1728
1	1	0	4	9	-985	10368
1	1	0	5	8	-2525	5184
1	1	0	6	7	-21325	11664
1	1	0	7	6	-20525	5832
1	1	0	8	5	-95	24
1	1	0	9	4	-2000	729
1	1	0	10	3	-880	729
1	1	0	11	2	-40	81
1	1	1	1	11	-85	768
1	1	1	2	10	5	576
1	1	1	3	9	-755	5184
1	1	1	4	8	-7765	5184
1	1	1	5	7	-14705	3888
1	1	1	6	6	-101455	11664
1	1	1	7	5	-50	3
1	1	1	8	4	-1190	81
1	1	1	9	3	-8800	729
1	1	1	10	2	-440	81
1	1	2	0	11	5	384
1	1	2	1	10	5	576
1	1	2	2	9	125	432
1	1	2	3	8	3505	5184
1	1	2	4	7	13955	7776
1	1	2	5	6	2125	1944
1	1	2	6	5	-25	12
1	1	2	7	4	-1625	324
1	1	2	8	3	55	81
1	1	2	9	2	-175	81
1	1	3	0	10	-85	1728
1	1	3	1	9	-755	5184
1	1	3	2	8	3505	5184
1	1	3	3	7	1805	5832
1	1	3	4	6	-25825	5832
1	1	3	5	5	-5	12
1	1	3	6	4	1105	243
1	1	3	7	3	1250	243
1	1	3	8	2	-985	27
1	1	4	0	9	-985	10368
1	1	4	1	8	-7765	5184
1	1	4	2	7	13955	7776
1	1	4	3	6	-25825	5832
1	1	4	4	5	-130	3
1	1	4	5	4	-5375	162
1	1	4	6	3	-34505	486
1	1	4	7	2	865	27
1	1	5	0	8	-2525	5184
1	1	5	1	7	-14705	3888
1	1	5	2	6	2125	1944
1	1	5	3	5	-5	12
1	1	5	4	4	-5375	162
1	1	5	5	3	3305	81
1	1	5	6	2	-1840	27
1	1	6	0	7	-21325	11664
1	1	6	1	6	-101455	11664
1	1	6	2	5	-25	12
1	1	6	3	4	1105	243
1	1	6	4	3	-34505	486
1	1	6	5	2	-1840	27
1	1	7	0	6	-20525	5832
1	1	7	1	5	-50	3
1	1	7	2	4	-1625	324
1	1	7	3	3	1250	243
1	1	7	4	2	865	27
1	1	8	0	5	-95	24
1	1	8	1	4	-1190	81
1	1	8	2	3	55	81
1	1	8	3	2	-985	27
1	1	9	0	4	-2000	729
1	1	9	1	3	-8800	729
1	1	9	2	2	-175	81
1	1	10	0	3	-880	729
1	1	10	1	2	-440	81
1	1	11	0	2	-40	81
1	2	0	1	11	5	384
1	2	0	2	10	95	1152
1	2	0	3	9	865	10368
1	2	0	4	8	2765	10368
1	2	0	5	7	2095	1944
1	2	0	6	6	3265	2916
1	2	0	7	5	25	6
1	2	0	8	4	2075	324
1	2	0	9	3	9425	1458
1	2	0	10	2	775	162
1	2	1	0	11	5	384
1	2	1	1	10	5	576
1	2	1	2	9	125	432
1	2	1	3	8	3505	5184
1	2	1	4	7	13955	7776
1	2	1	5	6	2125	1944
1	2	1	6	5	-25	12
1	2	1	7	4	-1625	324
1	2	1	8	3	55	81
1	2	1	9	2	-175	81
1	2	2	0	10	95	1152
1	2	2	1	9	125	432
1	2	2	2	8	3575	1728
1	2	2	3	7	18815	3888
1	2	2	4	6	156115	7776
1	2	2	5	5	-20	1
1	2	2	6	4	-3700	81
1	2	2	7	3	-6665	81
1	2	2	8	2	-20	9
1	2	3	0	9	865	10368
1	2	3	1	8	3505	5184
1	2	3	2	7	18815	3888
1	2	3	3	6	126335	11664
1	2	3	4	5	1415	24
1	2	3	5	4	-625	162
1	2	3	6	3	2675	486
1	2	3	7	2	-2725	27
1	2	4	0	8	2765	10368
1	2	4	1	7	13955	7776
1	2	4	2	6	156115	7776
1	2	4	3	5	1415	24
1	2	4	4	4	7355	81
1	2	4	5	3	5185	162
1	2	4	6	2	-4195	27
1	2	5	0	7	2095	1944
1	2	5	1	6	2125	1944
1	2	5	2	5	-20	1
1	2	5	3	4	-625	162
1	2	5	4	3	5185	162
1	2	5	5	2	3695	9
1	2	6	0	6	3265	2916
1	2	6	1	5	-25	12
1	2	6	2	4	-3700	81
1	2	6	3	3	2675	486
1	2	6	4	2	-4195	27
1	2	7	0	5	25	6
1	2	7	1	4	-1625	324
1	2	7	2	3	-6665	81
1	2	7	3	2	-2725	27
1	2	8	0	4	2075	324
1	2	8	1	3	55	81
1	2	8	2	2	-20	9
1	2	9	0	3	9425	1458
1	2	9	1	2	-175	81
1	2	10	0	2	775	162
1	3	0	0	11	25	2304
1	3	0	1	10	-85	1728
1	3	0	2	9	865	10368
1	3	0	3	8	4315	15552
1	3	0	4	7	-3875	2916
1	3	0	5	6	-27035	5832
1	3	0	6	5	-305	18
1	3	0	7	4	-3140	243
1	3	0	8	3	-5155	486
1	3	0	9	2	-2200	243
1	3	1	0	10	-85	1728
