z0	z1	z2	z3	z4	numerator	denominator
0	5	1	2	7	55	144
0	5	1	3	6	-11135	432
0	5	1	4	5	-2315	288
0	5	1	5	4	-2315	288
0	5	1	6	3	-11135	432
0	5	1	7	2	55	144
0	5	1	8	1	-2825	576
0	5	1	9	0	-3905	5184
0	5	2	0	8	-6265	1944
0	5	2	1	7	455	972
0	5	2	2	6	-104195	3888
0	5	2	3	5	-30835	972
0	5	2	4	4	-575	972
0	5	2	5	3	-30835	972
0	5	2	6	2	-104195	3888
0	5	2	7	1	455	972
0	5	2	8	0	-6265	1944
0	5	3	0	7	-1175	1458
0	5	3	1	6	-2290	729
0	5	3	2	5	-41405	1944
0	5	3	3	4	-7805	729
0	5	3	4	3	-7805	729
0	5	3	5	2	-41405	1944
0	5	3	6	1	-2290	729
0	5	3	7	0	-1175	1458
0	5	4	0	6	-2215	648
0	5	4	1	5	-785	216
0	5	4	2	4	-4465	432
0	5	4	3	3	-10685	648
0	5	4	4	2	-4465	432
0	5	4	5	1	-785	216
0	5	4	6	0	-2215	648
0	5	5	0	5	-310	81
0	5	5	1	4	3395	648
0	5	5	2	3	-670	81
0	5	5	3	2	-670	81
0	5	5	4	1	3395	648
0	5	5	5	0	-310	81
0	5	6	0	4	-6755	3888
0	5	6	1	3	2965	972
0	5	6	2	2	-8375	648
0	5	6	3	1	2965	972
0	5	6	4	0	-6755	3888
0	5	7	0	3	-70	81
0	5	7	1	2	-5	54
0	5	7	2	1	-5	54
0	5	7	3	0	-70	81
0	5	10	0	0	-2651	3888
0	6	0	0	9	103015	31104
0	6	0	1	8	10135	3456
0	6	0	2	7	6085	864
0	6	0	3	6	13265	1296
0	6	0	4	5	13975	1728
0	6	0	5	4	13975	1728
0	6	0	6	3	13265	1296
0	6	0	7	2	6085	864
0	6	0	8	1	10135	3456
0	6	0	9	0	103015	31104
0	6	1	0	8	-6265	5832
0	6	1	1	7	-24605	5832
0	6	1	2	6	-3875	2916
0	6	1	3	5	-55595	5832
0	6	1	4	4	-154045	23328
0	6	1	5	3	-55595	5832
0	6	1	6	2	-3875	2916
0	6	1	7	1	-24605	5832
0	6	1	8	0	-6265	5832
0	6	2	0	7	-13285	5832
0	6	2	1	6	-8225	2916
0	6	2	2	5	-127765	7776
0	6	2	3	4	-164975	23328
0	6	2	4	3	-164975	23328
0	6	2	5	2	-127765	7776
0	6	2	6	1	-8225	2916
0	6	2	7	0	-13285	5832
0	6	3	0	6	1835	972
0	6	3	1	5	-5215	648
0	6	3	2	4	-6355	648
0	6	3	3	3	4985	486
0	6	3	4	2	-6355	648
0	6	3	5	1	-5215	648
0	6	3	6	0	1835	972
0	6	4	0	5	-370	243
0	6	4	1	4	-28385	3888
0	6	4	2	3	40765	7776
0	6	4	3	2	40765	7776
0	6	4	4	1	-28385	3888
0	6	4	5	0	-370	243
0	6	5	0	4	-2575	7776
0	6	5	1	3	-170	243
0	6	5	2	2	3355	2592
0	6	5	3	1	-170	243
0	6	5	4	0	-2575	7776
0	6	6	0	3	10255	3888
0	6	6	1	2	-2705	1296
0	6	6	2	1	-2705	1296
0	6	6	3	0	10255	3888
0	6	9	0	0	3865	23328
0	7	0	0	8	120415	46656
0	7	0	1	7	77065	23328
0	7	0	2	6	262435	46656
0	7	0	3	5	22325	2916
0	7	0	4	4	282475	46656
0	7	0	5	3	22325	2916
0	7	0	6	2	262435	46656
0	7	0	7	1	77065	23328
0	7	0	8	0	120415	46656
0	7	1	0	7	-10195	11664
0	7	1	1	6	-27625	11664
0	7	1	2	5	-1055	1944
0	7	1	3	4	-5875	1458
0	7	1	4	3	-5875	1458
