z0	z1	z2	z3	z4	numerator	denominator
0	4	2	2	7	-1115	486
0	4	2	3	6	-8945	81
0	4	2	4	5	-7520	81
0	4	2	5	4	-5680	81
0	4	2	6	3	-15400	81
0	4	2	9	0	-25025	243
0	4	3	0	8	376915	5832
0	4	3	1	7	-15695	729
0	4	3	2	6	-8945	81
0	4	3	3	5	-2540	243
0	4	3	4	4	-23540	243
0	4	3	5	3	-30800	81
0	4	3	8	0	-25025	81
0	4	4	0	7	144685	2916
0	4	4	1	6	4825	162
0	4	4	2	5	-7520	81
0	4	4	3	4	-23540	243
0	4	4	4	3	58700	81
0	4	4	7	0	99800	81
0	4	5	0	6	4205	162
0	4	5	1	5	880	81
0	4	5	2	4	-5680	81
0	4	5	3	3	-30800	81
0	4	5	6	0	-70070	81
0	4	6	0	5	9350	243
0	4	6	1	4	10115	243
0	4	6	2	3	-15400	81
0	4	6	5	0	-70070	81
0	4	7	0	4	2660	243
0	4	7	1	3	8560	81
0	4	7	4	0	99800	81
0	4	8	0	3	-550	81
0	4	8	3	0	-25025	81
0	4	9	2	0	-25025	243
0	4	10	1	0	8360	243
0	4	11	0	0	-455	243
0	5	0	0	10	207005	5184
0	5	0	1	9	-3905	5184
0	5	0	2	8	-6265	1944
0	5	0	3	7	66845	729
0	5	0	4	6	4205	162
0	5	0	5	5	500	81
0	5	0	6	4	6640	243
0	5	0	7	3	-880	81
0	5	0	10	0	-1001	243
0	5	1	0	9	-3905	5184
0	5	1	1	8	-6265	972
0	5	1	2	7	-6055	243
0	5	1	3	6	-2930	81
0	5	1	4	5	880	81
0	5	1	5	4	-2920	81
0	5	1	6	3	-6160	81
0	5	1	9	0	-10010	243
0	5	2	0	8	-6265	1944
0	5	2	1	7	-6055	243
0	5	2	2	6	965	27
0	5	2	3	5	-6340	81
0	5	2	4	4	-5680	81
0	5	2	5	3	9500	27
0	5	2	8	0	8765	27
0	5	3	0	7	66845	729
0	5	3	1	6	-2930	81
0	5	3	2	5	-6340	81
0	5	3	3	4	33170	243
0	5	3	4	3	-30800	81
0	5	3	7	0	-40040	81
0	5	4	0	6	4205	162
0	5	4	1	5	880	81
0	5	4	2	4	-5680	81
0	5	4	3	3	-30800	81
0	5	4	6	0	-70070	81
0	5	5	0	5	500	81
0	5	5	1	4	-2920	81
0	5	5	2	3	9500	27
0	5	5	5	0	61072	27
0	5	6	0	4	6640	243
0	5	6	1	3	-6160	81
0	5	6	4	0	-70070	81
0	5	7	0	3	-880	81
0	5	7	3	0	-40040	81
0	5	8	2	0	8765	27
0	5	9	1	0	-10010	243
0	5	10	0	0	-1001	243
0	6	0	0	9	2484415	31104
0	6	0	1	8	-6265	5832
0	6	0	2	7	-6055	1458
0	6	0	3	6	36605	243
0	6	0	4	5	9350	243
0	6	0	5	4	6640	243
0	6	0	6	3	26080	243
0	6	0	9	0	24155	729
0	6	1	0	8	-6265	5832
0	6	1	1	7	-6055	729
0	6	1	2	6	-2275	81
0	6	1	3	5	-6340	243
0	6	1	4	4	10115	243
0	6	1	5	3	-6160	81
0	6	1	8	0	-5005	81
0	6	2	0	7	-6055	1458
0	6	2	1	6	-2275	81
0	6	2	2	5	2500	81
0	6	2	3	4	-23510	243
0	6	2	4	3	-15400	81
0	6	2	7	0	-20020	81
0	6	3	0	6	36605	243
0	6	3	1	5	-6340	243
0	6	3	2	4	-23510	243
0	6	3	3	3	118220	243
0	6	3	6	0	289970	243
0	6	4	0	5	9350	243
0	6	4	1	4	10115	243
0	6	4	2	3	-15400	81
0	6	4	5	0	-70070	81
0	6	5	0	4	6640	243
0	6	5	1	3	-6160	81
0	6	5	4	0	-70070	81
0	6	6	0	3	26080	243
0	6	6	3	0	289970	243
0	6	7	2	0	-20020	81
0	6	8	1	0	-5005	81
0	6	9	0	0	24155	729
0	7	0	0	8	611465	5832
0	7	0	1	7	-865	729
0	7	0	2	6	-325	81
0	7	0	3	5	22700	243
0	7	0	4	4	2660	243
0	7	0	5	3	-880	81
0	7	0	8	0	-715	81
0	7	1	0	7	-865	729
0	7	1	1	6	-650	81
0	7	1	2	5	-1600	81
0	7	1	3	4	-3940	243
0	7	1	4	3	8560	81
0	7	1	7	0	10480	81
0	7	2	0	6	-325	81
0	7	2	1	5	-1600	81
0	7	2	2	4	6940	81
0	7	2	3	3	-8800	81
0	7	2	6	0	-20020	81
0	7	3	0	5	22700	243
0	7	3	1	4	-3940	243
0	7	3	2	3	-8800	81
0	7	3	5	0	-40040	81
0	7	4	0	4	2660	243
0	7	4	1	3	8560	81
0	7	4	4	0	99800	81
0	7	5	0	3	-880	81
0	7	5	3	0	-40040	81
0	7	6	2	0	-20020	81
0	7	7	1	0	10480	81
0	7	8	0	0	-715	81
0	8	0	0	7	611495	5832
0	8	0	1	6	-325	324
0	8	0	2	5	-200	81
0	8	0	3	4	15910	243
0	8	0	4	3	-550	81
0	8	0	7	0	-715	81
0	8	1	0	6	-325	324
0	8	1	1	5	-400	81
0	8	1	2	4	-1100	81
0	8	1	3	3	-2200	81
0	8	1	6	0	-5005	81
0	8	2	0	5	-200	81
0	8	2	1	4	-1100	81
0	8	2	2	3	2680	27
0	8	2	5	0	8765	27
0	8	3	0	4	15910	243
0	8	3	1	3	-2200	81
0	8	3	4	0	-25025	81
0	8	4	0	3	-550	81
0	8	4	3	0	-25025	81
0	8	5	2	0	8765	27
0	8	6	1	0	-5005	81
0	8	7	0	0	-715	81
0	9	0	0	6	232955	2916
0	9	0	1	5	-400	729
0	9	0	2	4	-1100	729
0	9	0	3	3	41540	729
0	9	0	6	0	24155	729
0	9	1	0	5	-400	729
0	9	1	1	4	-2200	729
0	9	1	2	3	-2200	243
0	9	1	5	0	-10010	243
0	9	2	0	4	-1100	729
0	9	2	1	3	-2200	243
0	9	2	4	0	-25025	243
0	9	3	0	3	41540	729
0	9	3	3	0	169630	729
0	9	4	2	0	-25025	243
0	9	5	1	0	-10010	243
0	9	6	0	0	24155	729
0	10	0	0	5	29120	729
0	10	0	1	4	-220	729
0	10	0	2	3	-220	243
0	10	0	5	0	-1001	243
0	10	1	0	4	-220	729
0	10	1	1	3	-440	243
0	10	1	4	0	8360	243
0	10	2	0	3	-220	243
0	10	2	3	0	-10010	243
0	10	3	2	0	-10010	243
0	10	4	1	0	8360	243
0	10	5	0	0	-1001	243
0	11	0	0	4	14560	729
0	11	0	1	3	-40	243
0	11	0	4	0	-455	243
0	11	1	0	3	-40	243
0	11	1	3	0	-1820	243
0	11	2	2	0	2330	81
0	11	3	1	0	-1820	243
0	11	4	0	0	-455	243
0	12	0	0	3	7280	729
0	12	0	3	0	6835	729
0	12	1	2	0	-455	243
0	12	2	1	0	-455	243
0	12	3	0	0	6835	729
0	13	0	2	0	-35	243
0	13	1	1	0	-70	243
0	13	2	0	0	-35	243
0	14	0	1	0	-5	243
0	14	1	0	0	-5	243
0	15	0	0	0	728	729
1	0	0	0	14	-155	8192
1	0	0	3	11	-335	2304
1	0	0	4	10	-3815	13824
1	0	0	5	9	-1325	2592
1	0	0	6	8	-14425	15552
1	0	0	7	7	-3235	2916
1	0	0	8	6	-5755	5832
1	0	0	9	5	-35	54
1	0	0	10	4	-200	729
1	0	0	11	3	-80	729
1	0	0	12	2	-10	243
1	0	1	2	11	-335	768
1	0	1	3	10	-3815	3456
1	0	1	4	9	-6625	2592
1	0	1	5	8	-14425	2592
1	0	1	6	7	-22645	2916
1	0	1	7	6	-5755	729
1	0	1	8	5	-35	6
1	0	1	9	4	-2000	729
1	0	1	10	3	-880	729
1	0	1	11	2	-40	81
1	0	2	1	11	-335	768
1	0	2	2	10	30745	2304
1	0	2	3	9	58175	1296
1	0	2	4	8	446275	5184
1	0	2	5	7	162035	972
1	0	2	6	6	324215	1458
1	0	2	7	5	500	3
1	0	2	8	4	7100	81
1	0	2	9	3	32050	729
1	0	2	10	2	995	81
1	0	3	0	11	-335	2304
1	0	3	1	10	-3815	3456
1	0	3	2	9	58175	1296
1	0	3	3	8	161155	3888
1	0	3	4	7	178375	2916
1	0	3	5	6	83645	729
1	0	3	6	5	410	9
1	0	3	7	4	4150	243
1	0	3	8	3	2890	243
1	0	3	9	2	-2200	243
1	0	4	0	10	-3815	13824
1	0	4	1	9	-6625	2592
1	0	4	2	8	446275	5184
1	0	4	3	7	178375	2916
1	0	4	4	6	2695	2916
1	0	4	5	5	265	3
1	0	4	6	4	3010	243
1	0	4	7	3	-6370	243
1	0	4	8	2	530	27
1	0	5	0	9	-1325	2592
1	0	5	1	8	-14425	2592
1	0	5	2	7	162035	972
1	0	5	3	6	83645	729
1	0	5	4	5	265	3
1	0	5	5	4	12220	81
1	0	5	6	3	21700	243
1	0	5	7	2	1010	27
1	0	6	0	8	-14425	15552
1	0	6	1	7	-22645	2916
1	0	6	2	6	324215	1458
1	0	6	3	5	410	9
1	0	6	4	4	3010	243
1	0	6	5	3	21700	243
1	0	6	6	2	-3080	81
1	0	7	0	7	-3235	2916
1	0	7	1	6	-5755	729
1	0	7	2	5	500	3
1	0	7	3	4	4150	243
1	0	7	4	3	-6370	243
1	0	7	5	2	1010	27
1	0	8	0	6	-5755	5832
1	0	8	1	5	-35	6
1	0	8	2	4	7100	81
1	0	8	3	3	2890	243
1	0	8	4	2	530	27
1	0	9	0	5	-35	54
1	0	9	1	4	-2000	729
1	0	9	2	3	32050	729
1	0	9	3	2	-2200	243
1	0	10	0	4	-200	729
1	0	10	1	3	-880	729
1	0	10	2	2	995	81
1	0	11	0	3	-80	729
1	0	11	1	2	-40	81
1	0	12	0	2	-10	243
1	1	0	2	11	-335	768
1	1	0	3	10	-3815	3456
1	1	0	4	9	-6625	2592
1	1	0	5	8	-14425	2592
1	1	0	6	7	-22645	2916
1	1	0	7	6	-5755	729
1	1	0	8	5	-35	6
1	1	0	9	4	-2000	729
1	1	0	10	3	-880	729
1	1	0	11	2	-40	81
1	1	1	1	11	-335	384
1	1	1	2	10	-3815	1152
1	1	1	3	9	-6625	648
1	1	1	4	8	-72125	2592
1	1	1	5	7	-22645	486
1	1	1	6	6	-40285	729
1	1	1	7	5	-140	3
1	1	1	8	4	-2000	81
1	1	1	9	3	-8800	729
1	1	1	10	2	-440	81
1	1	2	0	11	-335	768
1	1	2	1	10	-3815	1152
1	1	2	2	9	-6625	432
1	1	2	3	8	-33245	1296
1	1	2	4	7	-25745	972
1	1	2	5	6	-6265	243
1	1	2	6	5	140	3
1	1	2	7	4	3340	81
