family	index	status	seconds	variables	clauses	cnf_sha256	proof_sha256	digits	detail
p199	44	UNSAT	0.131452	208	4151	2c3da7cf0bd324b3f6f67f079ea3bd2d1cc512b4648049cb8dade7c057141789	e09976c810deffec1bc62379e78f23c6bc72662b1854bbfac8fc0f877d2d3e8b	-	drat-trim VERIFIED
p199	45	UNSAT	0.120404	208	4151	30e29417a3569d6ad64f862b8add38d8004442a3328f8b186656c8908a417ca2	9a8ef86365c04fde67f6dcafa625f15875dd2e0a72fbb34ecf9d06050ad7655a	-	drat-trim VERIFIED
p199	46	UNSAT	0.121560	208	4151	751d55c6385e391158a7b2168f7cf228cf56024ed4a268cfca001d0d4d62200d	94f21034e0ea5baf9ae292de20ac81466c651eff8a0626e208537bd6cf6269a4	-	drat-trim VERIFIED
p199	47	UNSAT	0.122302	208	4151	a5542e4bbe5f1e010bae38f6d1125535b2f8a950426b5ec515b6d5328b2e7ed7	043677e1f60041d8e1f7b5d0690beffd168a964d0f595c6a9dba0b04070fb945	-	drat-trim VERIFIED
p199	48	UNSAT	0.120598	208	4151	bb2f16a5b6e9b402e4317d43364202b61f5ddac85c1d4d0f2d54f9e6eb20b011	4e97a14ffd504a1b20c3468230fe1a948635c8f03cb4e29e70f61b484b72104e	-	drat-trim VERIFIED
p199	49	UNSAT	0.141694	208	4151	199c72f6c30f84a72318607b9b1b726c81eae8873f6f3501e857d8207e0eaf41	e21cd79195eed66cf14d0f2e0caafb6f0c74e834eb1ee72fedba13327c601800	-	drat-trim VERIFIED
p199	50	UNSAT	0.128809	208	4151	3462f733c1a0aaa3663de97e656703e5acdf35f977cc86e93e00fe97a86f9c36	3fa39d517e57afe624db16ca0f6e7a6f390a72bcd654de0b9406d2e9a433c2a8	-	drat-trim VERIFIED
p199	51	UNSAT	0.123803	208	4151	a0a97dd886aaaaa4150aa4da586dcd4739843f77ce81fda88d88ed8a1d7b8f21	8437b4629dded6d0bbd3ca36ef9d86519d8c5cf479dd9763b45c99ec8fefd83f	-	drat-trim VERIFIED
p199	52	UNSAT	0.128851	208	4151	476ef051f62d7048fe9297a18e433b836b522c9b794052bdcd470ec1bd532ae7	00e8457d4675a3ffacfe7e48e764ce384d6ed5b887ee3dd9482924055f140135	-	drat-trim VERIFIED
p199	53	UNSAT	0.131107	208	4151	029ae6cf1fd25ce40eb57ee67caa7441dbc47fe5561526461a066b93c77a7a8c	ad76b8631431675360dac08c1ccca42098fd534f50c20b8fcbc2a1680dd98fbc	-	drat-trim VERIFIED
