x	y	r	h	numerator	denominator
0	12	13	12	-275	256
0	13	0	0	20285	124416
0	13	0	2	-1221865	3981312
0	13	1	0	20285	373248
0	13	2	0	-119555	186624
0	13	2	2	42335	13824
0	13	2	4	-3031415	1327104
0	13	3	0	-6535	15552
0	13	3	2	31105	62208
0	13	4	0	695	1458
0	13	4	2	-99065	10368
0	13	4	4	389515	20736
0	13	4	6	-5208805	442368
0	13	5	0	19775	23328
0	13	5	2	-129425	31104
0	13	5	4	280075	41472
0	13	6	0	22555	15552
0	13	6	2	4565	648
0	13	6	4	-439255	10368
0	13	6	6	416495	6912
0	13	6	8	-3230825	147456
0	13	7	0	100	243
0	13	7	2	5645	972
0	13	7	4	-32585	1296
0	13	7	6	25655	3456
0	13	8	0	-445	1458
0	13	8	2	8635	15552
0	13	8	4	22145	648
0	13	8	6	-142925	1728
0	13	8	8	122305	1536
0	13	8	10	-1615435	49152
0	13	9	0	5	243
0	13	9	2	-1975	648
0	13	9	4	38165	1296
0	13	9	6	-79475	1728
0	13	9	8	188435	4608
0	13	10	0	5	486
0	13	10	2	-895	486
0	13	10	4	1555	5184
0	13	10	6	-905	72
0	13	10	8	-20455	2304
0	13	10	10	-7205	1536
0	13	10	12	83475	16384
0	13	11	2	10	81
0	13	11	4	1595	324
0	13	11	6	395	108
0	13	11	8	5645	576
0	13	11	10	-6895	768
0	13	12	2	-5	54
0	13	12	4	-25	27
0	13	12	6	-245	64
0	13	12	8	15	8
0	13	12	10	275	128
0	13	12	14	-4725	16384
0	13	13	4	5	27
0	13	13	6	25	72
0	13	13	8	-35	96
0	13	13	10	-75	128
0	13	13	12	165	512
0	14	0	0	-4795	373248
0	14	0	2	32645	1327104
0	14	1	0	-1255	186624
0	14	2	0	15275	186624
0	14	2	2	-41795	124416
0	14	2	4	90715	442368
0	14	3	0	235	2916
0	14	3	2	-205	3456
0	14	4	0	-145	729
0	14	4	2	17345	10368
0	14	4	4	-51535	20736
0	14	4	6	198545	147456
0	14	5	0	-4255	11664
0	14	5	2	1585	1728
0	14	5	4	-2665	2304
0	14	6	0	-2315	46656
0	14	6	2	-7265	2592
0	14	6	4	10195	1152
0	14	6	6	-64715	6912
0	14	6	8	405775	147456
0	14	7	0	725	1458
0	14	7	2	-635	216
0	14	7	4	8125	1296
0	14	7	6	-275	192
0	14	8	0	410	729
0	14	8	2	415	1728
0	14	8	4	-3125	288
0	14	8	6	10405	576
0	14	8	8	-62135	4608
0	14	8	10	226205	49152
0	14	9	0	20	243
0	14	9	2	935	324
0	14	9	4	-290	27
0	14	9	6	10315	864
0	14	9	8	-17785	2304
0	14	10	0	-5	486
0	14	10	2	265	162
0	14	10	4	-5825	5184
0	14	10	6	295	96
0	14	10	8	1405	768
0	14	10	10	1225	1536
0	14	10	12	-11925	16384
0	14	11	2	10	243
0	14	11	4	-55	27
0	14	11	6	-55	72
0	14	11	8	-335	144
0	14	11	10	635	384
0	14	12	2	5	54
0	14	12	4	25	54
0	14	12	6	245	192
0	14	12	8	-15	32
0	14	12	10	-55	128
0	14	12	14	675	16384
0	14	13	4	-10	81
0	14	13	6	-5	36
0	14	13	8	5	48
0	14	13	10	25	192
0	14	13	12	-15	256
0	15	0	0	65	373248
0	15	0	2	-2945	3981312
0	15	1	0	305	746496
0	15	2	0	-535	186624
0	15	2	2	1765	124416
0	15	2	4	-9695	1327104
0	15	3	0	-205	31104
0	15	3	2	385	124416
0	15	4	0	25	1296
0	15	4	2	-3565	31104
0	15	4	4	2885	20736
0	15	4	6	-3445	49152
0	15	5	0	4585	93312
0	15	5	2	-305	3456
0	15	5	4	7715	82944
0	15	6	0	-235	5184
0	15	6	2	2885	7776
0	15	6	4	-2665	3456
0	15	6	6	1495	2304
0	15	6	8	-23425	147456
0	15	7	0	-155	972
0	15	7	2	1265	2592
0	15	7	4	-3595	5184
0	15	7	6	305	2304
0	15	8	0	-4	729
0	15	8	2	-5425	15552
0	15	8	4	1345	864
0	15	8	6	-3095	1728
0	15	8	8	4805	4608
0	15	8	10	-4913	16384
0	15	9	0	295	1458
0	15	9	2	-1895	1944
0	15	9	4	3085	1728
0	15	9	6	-265	192
0	15	9	8	6215	9216
0	15	10	0	25	162
0	15	10	2	-275	486
0	15	10	4	1495	5184
0	15	10	6	-305	864
0	15	10	8	-395	2304
0	15	10	10	-95	1536
0	15	10	12	795	16384
0	15	11	0	10	243
0	15	11	2	-10	243
0	15	11	4	10	27
0	15	11	6	55	864
0	15	11	8	95	384
0	15	11	10	-215	1536
0	15	12	2	-5	162
0	15	12	4	-5	54
0	15	12	6	-35	192
0	15	12	8	5	96
0	15	12	10	5	128
0	15	12	14	-45	16384
0	15	13	0	2	729
0	15	13	4	5	162
0	15	13	6	5	216
0	15	13	8	-5	384
0	15	13	10	-5	384
0	15	13	12	5	1024
1	0	0	2	-4915	16384
1	0	2	4	-21915	16384
1	0	4	6	-66055	16384
1	0	6	8	-74405	16384
1	0	8	10	-91785	16384
1	0	10	12	14535	16384
1	0	12	14	-765	16384
1	1	0	2	73535	16384
1	1	2	4	328635	16384
1	1	4	6	986795	16384
1	1	6	8	1126045	16384
1	1	8	10	1368285	16384
1	1	10	12	-215415	16384
1	1	12	14	11385	16384
1	2	0	2	-513415	16384
1	2	2	4	-2299815	16384
1	2	4	6	-6879355	16384
1	2	6	8	-7952105	16384
1	2	8	10	-9518565	16384
1	2	10	12	1489635	16384
1	2	12	14	-79065	16384
1	3	0	0	-145	256
1	3	0	2	19810355	147456
1	3	1	0	-455	9216
1	3	2	2	-1355	256
1	3	2	4	89138935	147456
1	3	3	2	-5725	4608
1	3	4	4	-2565	128
1	3	4	6	266276255	147456
1	3	5	4	-76405	9216
1	3	6	6	-5115	128
1	3	6	8	312139985	147456
1	3	7	6	-24215	2304
1	3	8	8	-9205	256
1	3	8	10	122932595	49152
1	3	9	8	-144065	9216
1	3	10	10	465	256
1	3	10	12	-6375915	16384
1	3	11	10	3785	1536
1	3	12	14	339885	16384
1	3	13	12	-75	1024
1	4	0	0	24845	4608
1	4	0	2	-174046045	442368
1	4	1	0	3695	6912
1	4	2	0	-325	2304
1	4	2	2	241015	4608
1	4	2	4	-789088165	442368
1	4	3	2	35525	3456
1	4	4	2	-4375	1152
1	4	4	4	470465	2304
1	4	4	6	-2363521865	442368
1	4	5	4	504205	6912
1	4	6	4	-15025	1152
1	4	6	6	980695	2304
1	4	6	8	-938453065	147456
1	4	7	6	146195	1728
1	4	8	6	-26425	576
1	4	8	8	614315	1536
1	4	8	10	-122054245	16384
1	4	9	8	388195	2304
1	4	10	8	-2155	768
1	4	10	10	-31975	1536
1	4	10	12	18890235	16384
1	4	11	10	-11075	384
1	4	12	10	85	128
1	4	12	14	-1011465	16384
1	4	13	12	225	256
1	5	0	0	-1039535	41472
1	5	0	2	367134145	442368
1	5	1	0	-117755	41472
1	5	2	0	355	6912
1	5	2	2	-3398135	13824
1	5	2	4	1683565525	442368
1	5	3	0	-455	5184
1	5	3	2	-292375	6912
1	5	4	2	23935	1152
1	5	4	4	-748225	768
1	5	4	6	5083420405	442368
1	5	5	2	-14605	3456
1	5	5	4	-4263575	13824
1	5	6	4	28415	384
1	5	6	6	-14509415	6912
1	5	6	8	2056820945	147456
1	5	7	4	-2435	72
1	5	7	6	-1073585	3456
1	5	8	6	219025	576
1	5	8	8	-9418355	4608
1	5	8	10	799097995	49152
1	5	9	6	-57175	1728
1	5	9	8	-3883325	4608
1	5	10	8	69805	2304
1	5	10	10	167725	1536
1	5	10	12	-41035995	16384
1	5	11	8	-1045	576
1	5	11	10	39675	256
1	5	12	10	-925	128
1	5	12	14	2207205	16384
1	5	13	10	25	128
1	5	13	12	-2475	512
1	6	0	0	3008495	41472
1	6	0	2	-5161861985	3981312
1	6	1	0	574495	62208
1	6	2	0	3295	6912
1	6	2	2	29658385	41472
1	6	2	4	-2673093865	442368
1	6	3	0	115	2592
1	6	3	2	3504665	31104
1	6	4	0	-605	972
1	6	4	2	-79505	1152
1	6	4	4	59311315	20736
1	6	4	6	-910155965	49152
1	6	5	2	50275	5184
1	6	5	4	17188115	20736
1	6	6	2	-71425	7776
1	6	6	4	-757025	3456
