equation	e	T1	T2	T3	C1	C2	numerator	denominator
dT2	1	2	2	1	3	0	-3690	1
dT2	1	2	3	0	0	2	-760	1
dT2	1	2	3	0	2	1	-10040	1
dT2	1	2	3	0	4	0	3080	1
dT2	1	2	4	0	0	1	3300	1
dT2	1	2	4	0	2	0	-1650	1
dT2	1	3	0	0	1	4	210	1
dT2	1	3	0	0	3	3	-580	1
dT2	1	3	0	0	5	2	140	1
dT2	1	3	0	1	0	3	-60	1
dT2	1	3	0	1	2	2	7140	1
dT2	1	3	0	1	4	1	-8060	1
dT2	1	3	0	1	6	0	1630	1
dT2	1	3	0	2	1	1	-7830	1
dT2	1	3	0	2	3	0	3630	1
dT2	1	3	1	0	1	3	3400	1
dT2	1	3	1	0	3	2	480	1
dT2	1	3	1	0	5	1	-1860	1
dT2	1	3	1	0	7	0	380	1
dT2	1	3	1	1	0	2	4920	1
dT2	1	3	1	1	2	1	7680	1
dT2	1	3	1	1	4	0	-2720	1
dT2	1	3	2	0	1	2	-9540	1
dT2	1	3	2	0	3	1	11700	1
dT2	1	3	2	0	5	0	-2550	1
dT2	1	3	2	1	0	1	-900	1
dT2	1	3	2	1	2	0	1620	1
dT2	1	3	3	0	1	1	-6280	1
dT2	1	3	3	0	3	0	2240	1
dT2	1	4	0	0	0	4	-260	1
dT2	1	4	0	0	2	3	-660	1
dT2	1	4	0	0	4	2	210	1
dT2	1	4	0	1	1	2	7530	1
dT2	1	4	0	1	3	1	-8450	1
dT2	1	4	0	1	5	0	1810	1
dT2	1	4	0	2	0	1	-11700	1
dT2	1	4	0	2	2	0	3240	1
dT2	1	4	1	0	0	3	1040	1
dT2	1	4	1	0	2	2	1980	1
dT2	1	4	1	0	4	1	-2540	1
dT2	1	4	1	0	6	0	500	1
dT2	1	4	1	1	1	1	2960	1
dT2	1	4	1	1	3	0	-1640	1
dT2	1	4	2	0	0	2	-840	1
dT2	1	4	2	0	2	1	5700	1
dT2	1	4	2	0	4	0	-1650	1
dT2	1	4	3	0	0	1	-2720	1
dT2	1	4	3	0	2	0	1360	1
dT2	1	5	0	0	1	3	-320	1
dT2	1	5	0	0	3	2	140	1
dT2	1	5	0	1	0	2	-740	1
dT2	1	5	0	1	2	1	-3820	1
dT2	1	5	0	1	4	0	1190	1
dT2	1	5	1	0	1	2	1180	1
dT2	1	5	1	0	3	1	-1700	1
dT2	1	5	1	0	5	0	380	1
dT2	1	5	1	1	0	1	3600	1
dT2	1	5	1	1	2	0	-1800	1
dT2	1	5	2	0	1	1	2880	1
dT2	1	5	2	0	3	0	-960	1
dT2	1	6	0	0	0	3	-80	1
dT2	1	6	0	0	2	2	90	1
dT2	1	6	0	1	1	1	-1850	1
dT2	1	6	0	1	3	0	670	1
dT2	1	6	1	0	0	2	200	1
dT2	1	6	1	0	2	1	-700	1
dT2	1	6	1	0	4	0	200	1
dT2	1	6	2	0	0	1	720	1
dT2	1	6	2	0	2	0	-360	1
dT2	1	7	0	0	1	2	30	1
dT2	1	7	0	1	0	1	-580	1
dT2	1	7	0	1	2	0	290	1
dT2	1	7	1	0	1	1	-300	1
dT2	1	7	1	0	3	0	100	1
dT2	1	8	1	0	0	1	-60	1
dT2	1	8	1	0	2	0	30	1
dT2	2	0	0	1	0	4	-3960	1
dT2	2	0	0	1	2	3	900	1
dT2	2	0	0	1	4	2	4320	1
dT2	2	0	0	1	6	1	-2580	1
dT2	2	0	0	1	8	0	375	1
dT2	2	0	0	2	1	2	-8100	1
dT2	2	0	0	2	3	1	-360	1
dT2	2	0	0	2	5	0	900	1
dT2	2	0	0	3	0	1	12150	1
dT2	2	0	0	3	2	0	-3645	1
dT2	2	0	1	0	1	4	7620	1
dT2	2	0	1	0	3	3	-3180	1
dT2	2	0	1	0	5	2	-2970	1
dT2	2	0	1	0	7	1	1610	1
dT2	2	0	1	0	9	0	-200	1
dT2	2	0	1	1	0	3	-20160	1
dT2	2	0	1	1	2	2	990	1
dT2	2	0	1	1	4	1	10020	1
dT2	2	0	1	1	6	0	-2270	1
dT2	2	0	1	2	1	1	2430	1
dT2	2	0	1	2	3	0	-2070	1
dT2	2	0	2	0	1	3	-8280	1
dT2	2	0	2	0	3	2	8550	1
dT2	2	0	2	0	5	1	-3510	1
dT2	2	0	2	0	7	0	480	1
dT2	2	0	2	1	0	2	19440	1
dT2	2	0	2	1	2	1	1080	1
dT2	2	0	2	1	4	0	-1485	1
dT2	2	0	2	2	1	0	-4860	1
dT2	2	0	3	0	1	2	-360	1
dT2	2	0	3	0	3	1	-920	1
dT2	2	0	3	0	5	0	260	1
dT2	2	0	3	1	0	1	4680	1
dT2	2	0	3	1	2	0	-720	1
dT2	2	0	4	0	1	1	1200	1
dT2	2	0	4	0	3	0	-400	1
dT2	2	0	5	0	1	0	-180	1
dT2	2	1	0	0	0	5	-1590	1
dT2	2	1	0	0	2	4	-5175	1
dT2	2	1	0	0	4	3	3220	1
dT2	2	1	0	0	6	2	-295	1
dT2	2	1	0	0	8	1	-100	1
dT2	2	1	0	0	10	0	15	1
dT2	2	1	0	1	1	3	36900	1
dT2	2	1	0	1	3	2	3850	1
dT2	2	1	0	1	5	1	-9440	1
dT2	2	1	0	1	7	0	1550	1
dT2	2	1	0	2	0	2	-70470	1
dT2	2	1	0	2	2	1	-6750	1
dT2	2	1	0	2	4	0	4950	1
dT2	2	1	0	3	1	0	14580	1
dT2	2	1	1	0	0	4	3760	1
dT2	2	1	1	0	2	3	-640	1
dT2	2	1	1	0	4	2	-6800	1
dT2	2	1	1	0	6	1	3840	1
dT2	2	1	1	0	8	0	-550	1
dT2	2	1	1	1	1	2	-8820	1
dT2	2	1	1	1	3	1	20820	1
dT2	2	1	1	1	5	0	-5280	1
dT2	2	1	1	2	0	1	-21060	1
dT2	2	1	1	2	2	0	4590	1
dT2	2	1	2	0	0	3	2520	1
dT2	2	1	2	0	2	2	20565	1
dT2	2	1	2	0	4	1	-18870	1
dT2	2	1	2	0	6	0	3525	1
dT2	2	1	2	1	1	1	-12420	1
dT2	2	1	2	1	3	0	6360	1
dT2	2	1	3	0	0	2	-3840	1
dT2	2	1	3	0	2	1	-2160	1
dT2	2	1	3	0	4	0	820	1
dT2	2	1	3	1	1	0	5040	1
dT2	2	1	4	0	0	1	-850	1
dT2	2	1	4	0	2	0	-200	1
dT2	2	2	0	0	1	4	-3130	1
dT2	2	2	0	0	3	3	1960	1
dT2	2	2	0	0	5	2	490	1
dT2	2	2	0	0	7	1	-390	1
dT2	2	2	0	0	9	0	50	1
dT2	2	2	0	1	0	3	5970	1
dT2	2	2	0	1	2	2	15570	1
dT2	2	2	0	1	4	1	-10230	1
dT2	2	2	0	1	6	0	1410	1
dT2	2	2	0	2	1	1	-810	1
dT2	2	2	0	2	3	0	-2190	1
dT2	2	2	1	0	1	3	-5670	1
dT2	2	2	1	0	3	2	-10100	1
dT2	2	2	1	0	5	1	7690	1
dT2	2	2	1	0	7	0	-1230	1
dT2	2	2	1	1	0	2	15360	1
dT2	2	2	1	1	2	1	24960	1
dT2	2	2	1	1	4	0	-6860	1
dT2	2	2	1	2	1	0	-12690	1
dT2	2	2	2	0	1	2	15660	1
dT2	2	2	2	0	3	1	-19740	1
dT2	2	2	2	0	5	0	4350	1
dT2	2	2	2	1	0	1	-2880	1
dT2	2	2	2	1	2	0	3285	1
dT2	2	2	3	0	1	1	7420	1
dT2	2	2	3	0	3	0	-3260	1
dT2	2	2	4	0	1	0	-1650	1
dT2	2	3	0	0	0	4	-1070	1
dT2	2	3	0	0	2	3	1060	1
dT2	2	3	0	0	4	2	910	1
dT2	2	3	0	0	6	1	-660	1
dT2	2	3	0	0	8	0	100	1
dT2	2	3	0	1	1	2	6420	1
dT2	2	3	0	1	3	1	-4100	1
dT2	2	3	0	1	5	0	690	1
dT2	2	3	0	2	0	1	15390	1
dT2	2	3	0	2	2	0	-6165	1
dT2	2	3	1	0	0	3	-2140	1
dT2	2	3	1	0	2	2	-15360	1
dT2	2	3	1	0	4	1	12780	1
dT2	2	3	1	0	6	0	-2270	1
dT2	2	3	1	1	1	1	10380	1
dT2	2	3	1	1	3	0	-2140	1
dT2	2	3	2	0	0	2	2700	1
dT2	2	3	2	0	2	1	-9180	1
dT2	2	3	2	0	4	0	2310	1
dT2	2	3	2	1	1	0	1620	1
dT2	2	3	3	0	0	1	4800	1
dT2	2	3	3	0	2	0	-2180	1
dT2	2	4	0	0	1	3	1880	1
dT2	2	4	0	0	3	2	1110	1
dT2	2	4	0	0	5	1	-1120	1
dT2	2	4	0	0	7	0	190	1
dT2	2	4	0	1	0	2	-1680	1
dT2	2	4	0	1	2	1	-5580	1
dT2	2	4	0	1	4	0	1465	1
dT2	2	4	0	2	1	0	3240	1
dT2	2	4	1	0	1	2	-8490	1
dT2	2	4	1	0	3	1	9570	1
dT2	2	4	1	0	5	0	-2050	1
dT2	2	4	1	1	0	1	-5540	1
dT2	2	4	1	1	2	0	1790	1
dT2	2	4	2	0	1	1	-8070	1
dT2	2	4	2	0	3	0	2910	1
dT2	2	4	3	0	1	0	1360	1
dT2	2	5	0	0	0	3	660	1
dT2	2	5	0	0	2	2	1485	1
dT2	2	5	0	0	4	1	-1360	1
dT2	2	5	0	0	6	0	250	1
dT2	2	5	0	1	1	1	-1630	1
dT2	2	5	0	1	3	0	130	1
dT2	2	5	1	0	0	2	-1320	1
dT2	2	5	1	0	2	1	4320	1
dT2	2	5	1	0	4	0	-1110	1
dT2	2	5	1	1	1	0	-1800	1
dT2	2	5	2	0	0	1	-2730	1
dT2	2	5	2	0	2	0	1365	1
dT2	2	6	0	0	1	2	820	1
dT2	2	6	0	0	3	1	-860	1
dT2	2	6	0	0	5	0	190	1
dT2	2	6	0	1	0	1	1340	1
dT2	2	6	0	1	2	0	-590	1
dT2	2	6	1	0	1	1	2250	1
dT2	2	6	1	0	3	0	-750	1
dT2	2	6	2	0	1	0	-360	1
dT2	2	7	0	0	0	2	140	1
dT2	2	7	0	0	2	1	-370	1
dT2	2	7	0	0	4	0	100	1
dT2	2	7	0	1	1	0	290	1
dT2	2	7	1	0	0	1	540	1
dT2	2	7	1	0	2	0	-270	1
dT2	2	8	0	0	1	1	-150	1
dT2	2	8	0	0	3	0	50	1
dT2	2	8	1	0	1	0	30	1
dT2	2	9	0	0	0	1	-30	1
dT2	2	9	0	0	2	0	15	1
dT2	3	0	0	1	1	3	-3210	1
dT2	3	0	0	1	3	2	2130	1
dT2	3	0	0	1	5	1	300	1
dT2	3	0	0	1	7	0	-150	1
dT2	3	0	0	2	0	2	16740	1
dT2	3	0	0	2	2	1	-6840	1
dT2	3	0	0	2	4	0	-540	1
dT2	3	0	0	3	1	0	810	1
dT2	3	0	1	0	0	4	-4480	1
dT2	3	0	1	0	2	3	-2460	1
dT2	3	0	1	0	4	2	6940	1
dT2	3	0	1	0	6	1	-2540	1
dT2	3	0	1	0	8	0	260	1
dT2	3	0	1	1	1	2	-9420	1
dT2	3	0	1	1	3	1	3320	1
dT2	3	0	1	1	5	0	-400	1
dT2	3	0	1	2	0	1	9720	1
dT2	3	0	1	2	2	0	-2070	1
dT2	3	0	2	0	0	3	1920	1
dT2	3	0	2	0	2	2	7200	1
dT2	3	0	2	0	4	1	-5520	1
dT2	3	0	2	0	6	0	930	1
dT2	3	0	2	1	1	1	-19530	1
dT2	3	0	2	1	3	0	4890	1
dT2	3	0	2	2	0	0	3240	1
dT2	3	0	3	0	0	2	840	1
dT2	3	0	3	0	2	1	3280	1
dT2	3	0	3	0	4	0	-1320	1
dT2	3	0	3	1	1	0	840	1
dT2	3	0	4	0	0	1	1600	1
dT2	3	0	4	0	2	0	-400	1
dT2	3	0	5	0	0	0	120	1
dT2	3	1	0	0	1	4	8440	1
dT2	3	1	0	0	3	3	2190	1
dT2	3	1	0	0	5	2	-5040	1
dT2	3	1	0	0	7	1	1710	1
dT2	3	1	0	0	9	0	-180	1
dT2	3	1	0	1	0	3	-27120	1
dT2	3	1	0	1	2	2	-23060	1
dT2	3	1	0	1	4	1	18340	1
dT2	3	1	0	1	6	0	-2800	1
dT2	3	1	0	2	1	1	60300	1
dT2	3	1	0	2	3	0	-15750	1
