direction	degree	e	t	c	coefficient
standard_axis	2	5	1	7	-1800
standard_axis	2	4	2	7	-5820
standard_axis	2	3	3	7	-7320
standard_axis	2	2	4	7	-16140
standard_axis	2	1	5	7	-22440
standard_axis	2	0	6	7	117720
standard_axis	2	4	1	8	-2340
standard_axis	2	3	2	8	-1020
standard_axis	2	2	3	8	-4680
standard_axis	2	1	4	8	-8880
standard_axis	2	0	5	8	91260
standard_axis	2	3	1	9	120
standard_axis	2	2	2	9	-1320
standard_axis	2	1	3	9	-2360
standard_axis	2	0	4	9	49620
standard_axis	2	2	1	10	-180
standard_axis	2	1	2	10	-240
standard_axis	2	0	3	10	17000
standard_axis	2	1	1	11	360
standard_axis	2	0	2	11	5220
standard_axis	2	0	1	12	1440
standard_generic	2	12	1	0	420
standard_generic	2	11	2	0	1680
standard_generic	2	10	3	0	5600
standard_generic	2	9	4	0	18060
standard_generic	2	8	5	0	36750
standard_generic	2	7	6	0	57960
standard_generic	2	6	7	0	79380
standard_generic	2	5	8	0	68040
standard_generic	2	4	9	0	62370
standard_generic	2	3	10	0	68040
standard_generic	2	9	3	1	2800
standard_generic	2	8	4	1	16800
standard_generic	2	7	5	1	64680
standard_generic	2	6	6	1	154980
standard_generic	2	5	7	1	196560
standard_generic	2	4	8	1	158760
standard_generic	2	3	9	1	90720
standard_generic	2	9	2	2	4200
standard_generic	2	8	3	2	21420
standard_generic	2	7	4	2	86520
standard_generic	2	6	5	2	210420
standard_generic	2	5	6	2	275940
standard_generic	2	4	7	2	230580
standard_generic	2	3	8	2	11340
standard_generic	2	2	9	2	-136080
standard_generic	2	1	10	2	-204120
standard_generic	2	9	1	3	5040
standard_generic	2	8	2	3	12600
standard_generic	2	7	3	3	37800
standard_generic	2	6	4	3	127260
standard_generic	2	5	5	3	174720
standard_generic	2	4	6	3	73080
standard_generic	2	3	7	3	-257040
standard_generic	2	2	8	3	-340200
standard_generic	2	1	9	3	-249480
standard_generic	2	0	10	3	136080
standard_generic	2	8	1	4	2520
standard_generic	2	7	2	4	8400
standard_generic	2	6	3	4	31500
standard_generic	2	5	4	4	39480
standard_generic	2	4	5	4	-151410
standard_generic	2	3	6	4	-525420
standard_generic	2	2	7	4	-604800
standard_generic	2	1	8	4	-328860
standard_generic	2	0	9	4	232470
standard_generic	2	7	1	5	2520
standard_generic	2	6	2	5	11760
standard_generic	2	4	4	5	-194460
standard_generic	2	3	5	5	-486360
standard_generic	2	2	6	5	-570780
standard_generic	2	1	7	5	-400680
standard_generic	2	0	8	5	430920
standard_generic	2	6	1	6	6300
standard_generic	2	5	2	6	-16380
standard_generic	2	4	3	6	-117600
standard_generic	2	3	4	6	-265860
standard_generic	2	2	5	6	-330540
standard_generic	2	1	6	6	-289800
standard_generic	2	0	7	6	756000
standard_generic	2	5	1	7	-12600
standard_generic	2	4	2	7	-40740
standard_generic	2	3	3	7	-51240
standard_generic	2	2	4	7	-112980
standard_generic	2	1	5	7	-157080
standard_generic	2	0	6	7	824040
standard_generic	2	4	1	8	-16380
standard_generic	2	3	2	8	-7140
standard_generic	2	2	3	8	-32760
standard_generic	2	1	4	8	-62160
standard_generic	2	0	5	8	638820
standard_generic	2	3	1	9	840
standard_generic	2	2	2	9	-9240
standard_generic	2	1	3	9	-16520
standard_generic	2	0	4	9	347340
standard_generic	2	2	1	10	-1260
standard_generic	2	1	2	10	-1680
standard_generic	2	0	3	10	119000
standard_generic	2	1	1	11	2520
standard_generic	2	0	2	11	36540
standard_generic	2	0	1	12	10080
standard_generic	3	12	0	0	180
standard_generic	3	11	1	0	1440
standard_generic	3	10	2	0	7200
standard_generic	3	9	3	0	21240
standard_generic	3	8	4	0	40950
standard_generic	3	7	5	0	47520
standard_generic	3	6	6	0	30780
standard_generic	3	5	7	0	9720
standard_generic	3	4	8	0	7290
standard_generic	3	10	1	1	-1080
standard_generic	3	9	2	1	-12600
standard_generic	3	8	3	1	-42840
standard_generic	3	7	4	1	-96480
standard_generic	3	6	5	1	-118800
standard_generic	3	5	6	1	-87480
standard_generic	3	4	7	1	-19440
standard_generic	3	3	8	1	-29160
standard_generic	3	10	0	2	-540
standard_generic	3	9	1	2	-5040
standard_generic	3	8	2	2	-7020
standard_generic	3	7	3	2	360
standard_generic	3	6	4	2	60120
standard_generic	3	5	5	2	64800
standard_generic	3	4	6	2	77760
standard_generic	3	3	7	2	-19440
standard_generic	3	2	8	2	43740
standard_generic	3	9	0	3	360
standard_generic	3	8	1	3	7200
standard_generic	3	7	2	3	23760
standard_generic	3	6	3	3	51120
standard_generic	3	5	4	3	-25200
standard_generic	3	4	5	3	28080
standard_generic	3	3	6	3	-51840
