q	matrix	coefficients_Q	first_degree	classification	realized_epsilon
3	0,-1,0,-1,0,0,0,0,2	0,0,393660,306180,1275750,1601370,2944350,3729510,4654980,4817070,4357728,3254250,1946550,859950,245790,32766	2	LOCAL_POSITIVE	-
3	0,-1,0,-1,-1,2,0,2,-1	0,0,131220,-43740,664200,-124335,2436270,582090,5932245,4743460,7287061,7083455,4120720,1332515,211415,13292	2	LOCAL_POSITIVE	-
3	0,-1,0,-1,-1,1,0,1,1	0,0,393660,-87480,1144530,-407025,1819260,-717390,1586835,-525915,650403,-110010,75945,-555,-270,120	2	LOCAL_POSITIVE	-
3	0,-1,0,-1,-2,2,0,2,0	0,0,393660,-481140,2354670,-3620700,11403990,-15026850,35172180,-30444540,46543772,-10735270,2414590,3076030,384910,1406	2	LOCAL_POSITIVE	-
3	0,-1,0,-1,-2,1,0,1,2	0,0,918540,-131220,6102540,-1442610,21777360,-6090840,42989280,-11495280,43152276,-8374440,17091920,-1229040,1170720,108160	2	LOCAL_POSITIVE	-
3	0,-1,-1,-1,2,2,-1,2,-2	0,0,918540,656100,7725780,7793820,40922520,42471360,128912000,115856560,204631120,137585280,117997600,41461760,5533120,98752	2	LOCAL_POSITIVE	-
3	0,-1,-1,-1,2,1,-1,1,0	0,0,524880,699840,2800170,5106240,11310630,17827470,27273450,31324780,30312110,20991020,9474510,2414970,276280,9606	2	LOCAL_POSITIVE	-
3	0,-1,-1,-1,2,0,-1,0,2	0,0,393660,481140,1647540,2532060,5148360,6598800,9403200,9115920,8854416,6381120,3859680,1529280,248640,9792	2	LOCAL_POSITIVE	-
3	0,-1,-1,-1,1,2,-1,2,-1	0,0,524880,524880,2741850,3628800,9797730,12053340,20619530,20612800,21546022,16282080,9308950,3190220,431920,18532	2	LOCAL_POSITIVE	-
3	0,-1,-1,-1,1,1,-1,1,1	0,0,393660,481140,1589220,2454300,4694760,5691600,7343280,5591760,4066064,1165760,75040,-49280,-2240,320	2	LOCAL_POSITIVE	-
3	0,-1,-1,-1,0,2,-1,2,0	0,0,393660,481140,1647540,2532060,5148360,6598800,9403200,9115920,8854416,6381120,3859680,1529280,248640,9792	2	LOCAL_POSITIVE	-
3	0,-1,-1,-1,0,1,-1,1,2	0,0,524880,699840,2800170,5106240,11310630,17827470,27273450,31324780,30312110,20991020,9474510,2414970,276280,9606	2	LOCAL_POSITIVE	-
3	0,-1,-1,-1,-1,2,-1,2,1	0,0,524880,524880,2741850,3628800,9797730,12053340,20619530,20612800,21546022,16282080,9308950,3190220,431920,18532	2	LOCAL_POSITIVE	-
3	0,-1,-1,-1,-2,2,-1,2,2	0,0,918540,656100,7725780,7793820,40922520,42471360,128912000,115856560,204631120,137585280,117997600,41461760,5533120,98752	2	LOCAL_POSITIVE	-
3	0,-1,-2,-1,2,2,-2,2,0	0,0,1180980,1574640,12239910,23677920,83604150,149126670,324947700,414050400,526739356,369910390,161416270,35038970,2979590,66446	2	LOCAL_POSITIVE	-
3	0,-1,-2,-1,2,1,-2,1,2	0,0,918540,1530900,8318700,18070290,54632400,94674360,194615840,207834320,250641140,87179240,12605040,-7903440,1157760,77760	2	LOCAL_POSITIVE	-
3	0,-1,-2,-1,1,2,-2,2,1	0,0,918540,1487160,8420760,17819595,54918870,94583670,194708405,208134460,250807445,87768865,11001600,-7515315,-252585,77760	2	LOCAL_POSITIVE	-
3	0,-1,-2,-1,0,2,-2,2,2	0,0,918540,1880820,9570150,24378570,76105230,155277270,335432100,452529790,568038416,331539290,75730230,-24614130,-4518290,490686	2	LOCAL_POSITIVE	-
3	0,-2,2,-2,2,-1,2,-1,0	0,0,131220,174960,1833030,868320,9926070,377550,32325300,-14216000,36021596,-4799530,-2990610,51930,168070,5646	2	LOCAL_POSITIVE	-
3	0,-2,2,-2,1,0,2,0,-1	0,0,131220,0,1055430,0,3895530,0,11214900,0,18577224,0,2204630,0,-112530,0	2	LOCAL_POSITIVE	-
3	0,-2,2,-2,1,-1,2,-1,1	0,0,524880,699840,4231440,6324480,23720640,27317760,72665600,39454720,74347520,3112960,0,0,0,0	2	LOCAL_POSITIVE	-
3	0,-2,2,-2,0,1,2,1,-2	0,0,131220,-174960,1833030,-868320,9926070,-377550,32325300,14216000,36021596,4799530,-2990610,-51930,168070,-5646	2	LOCAL_POSITIVE	-
3	0,-2,2,-2,0,-1,2,-1,2	0,0,1180980,1574640,12239910,23677920,83604150,149126670,324947700,414050400,526739356,369910390,161416270,35038970,2979590,66446	2	LOCAL_POSITIVE	-
3	0,-2,2,-2,-1,1,2,1,-1	0,0,524880,-699840,4231440,-6324480,23720640,-27317760,72665600,-39454720,74347520,-3112960,0,0,0,0	2	LOCAL_POSITIVE	-
3	0,-2,2,-2,-1,0,2,0,1	0,0,1180980,0,9907110,0,43105770,0,97642260,0,98776584,0,18843030,0,436590,0	2	LOCAL_POSITIVE	-
3	0,-2,2,-2,-2,1,2,1,0	0,0,1180980,-1574640,12239910,-23677920,83604150,-149126670,324947700,-414050400,526739356,-369910390,161416270,-35038970,2979590,-66446	2	LOCAL_POSITIVE	-
3	0,-2,1,-2,2,1,1,1,-2	0,0,131220,262440,1300860,1423170,5861400,6247800,19572320,11023520,32572180,-1321080,5094640,-1822880,490240,-20992	2	LOCAL_POSITIVE	-
3	0,-2,1,-2,2,0,1,0,0	0,0,131220,-87480,676350,-279450,2930910,-1284870,9616820,-3139270,15612032,-3961510,1135350,-1439930,528470,-36686	2	LOCAL_POSITIVE	-
3	0,-2,1,-2,2,-1,1,-1,2	0,0,393660,306180,2726460,2583090,15882480,9533160,52670880,9480720,59964980,7092520,7082800,769520,741760,-320	2	LOCAL_POSITIVE	-
3	0,-2,1,-2,1,1,1,1,-1	0,0,131220,-131220,739530,-463725,2195340,-1603530,4784555,-4500655,6783547,-6981870,4676665,-1474055,144850,12188	2	LOCAL_POSITIVE	-
3	0,-2,1,-2,1,0,1,0,1	0,0,393660,-87480,1341360,-479925,3342870,-2010150,6400125,-5770080,8083701,-6662595,4267560,-1571715,271095,-14652	2	LOCAL_POSITIVE	-
3	0,-2,1,-2,0,2,1,2,-2	0,0,131220,-174960,1833030,-868320,9926070,-377550,32325300,14216000,36021596,4799530,-2990610,-51930,168070,-5646	2	LOCAL_POSITIVE	-
3	0,-2,1,-2,0,1,1,1,0	0,0,393660,-481140,1647540,-2532060,5148360,-6598800,9403200,-9115920,8854416,-6381120,3859680,-1529280,248640,-9792	2	LOCAL_POSITIVE	-
3	0,-2,1,-2,0,0,1,0,2	0,0,918540,306180,5847390,3329100,19823190,12868530,37536020,20610860,36277532,12194150,13672590,1984690,1198190,56194	2	LOCAL_POSITIVE	-
3	0,-2,1,-2,-1,2,1,2,-1	0,0,393660,-874800,3645000,-6722595,22756950,-30175470,74029365,-44080260,72582485,11750695,49840,-353005,-20585,-320	2	LOCAL_POSITIVE	-
3	0,-2,1,-2,-1,1,1,1,1	0,0,918540,-787320,6027210,-8120655,22997220,-30945690,49557155,-50825785,48457147,-29806590,13266625,-3008285,124930,40688	2	LOCAL_POSITIVE	-
3	0,-2,1,-2,-2,2,1,2,0	0,0,918540,-1880820,9570150,-24378570,76105230,-155277270,335432100,-452529790,568038416,-331539290,75730230,24614130,-4518290,-490686	2	LOCAL_POSITIVE	-
3	0,-2,1,-2,-2,1,1,1,2	0,0,1705860,-1049760,19282860,-19693530,111416280,-128853000,341682560,-348629920,494488180,-346062120,239086000,-74887040,12513280,983168	2	LOCAL_POSITIVE	-
3	0,-2,0,-2,2,1,0,1,0	0,0,393660,481140,2354670,3620700,11403990,15026850,35172180,30444540,46543772,10735270,2414590,-3076030,384910,-1406	2	LOCAL_POSITIVE	-
3	0,-2,0,-2,1,2,0,2,-1	0,0,393660,481140,2412990,3173580,10521090,12016080,28296180,20101140,34883424,2052180,1128870,-295380,65430,-3120	2	LOCAL_POSITIVE	-
3	0,-2,0,-2,1,1,0,1,1	0,0,524880,174960,2287440,1211760,6501120,2683200,11894160,-289600,11423296,-6115520,4420480,-1495040,293120,-15872	2	LOCAL_POSITIVE	-
3	0,-2,0,-2,0,1,0,1,2	0,0,918540,306180,5847390,3329100,19823190,12868530,37536020,20610860,36277532,12194150,13672590,1984690,1198190,56194	2	LOCAL_POSITIVE	-
3	0,-2,0,-2,-1,2,0,2,1	0,0,918540,-393660,6838830,-4401540,29466690,-19572480,71201700,-34393980,77511744,-6640860,11059910,907500,-301290,-9520	2	LOCAL_POSITIVE	-
3	0,-2,-1,-2,2,2,-1,2,0	0,0,918540,1880820,9570150,24378570,76105230,155277270,335432100,452529790,568038416,331539290,75730230,-24614130,-4518290,490686	2	LOCAL_POSITIVE	-
3	0,-2,-1,-2,2,1,-1,1,2	0,0,918540,1530900,8318700,18070290,54632400,94674360,194615840,207834320,250641140,87179240,12605040,-7903440,1157760,77760	2	LOCAL_POSITIVE	-
3	0,-2,-1,-2,1,2,-1,2,1	0,0,918540,1487160,8420760,17819595,54918870,94583670,194708405,208134460,250807445,87768865,11001600,-7515315,-252585,77760	2	LOCAL_POSITIVE	-
3	0,-2,-1,-2,0,2,-1,2,2	0,0,1180980,1574640,12239910,23677920,83604150,149126670,324947700,414050400,526739356,369910390,161416270,35038970,2979590,66446	2	LOCAL_POSITIVE	-
3	-1,2,2,2,-1,-2,2,-2,-2	0,0,918540,-2580660,13905270,-38660490,152697750,-313230570,853591140,-976909390,1452273280,-331662270,-96577850,29901830,5200030,88926	2	LOCAL_POSITIVE	-
3	-1,2,2,2,-2,-2,2,-2,-1	0,0,918540,-2580660,13905270,-38660490,152697750,-313230570,853591140,-976909390,1452273280,-331662270,-96577850,29901830,5200030,88926	2	LOCAL_POSITIVE	-
3	-1,2,1,2,1,-2,1,-2,-2	0,0,918540,-699840,8809560,-10691595,55448070,-69706290,202668585,-199777370,304467157,-204331935,89503240,-20462105,2651395,-159696	2	LOCAL_POSITIVE	-
3	-1,2,1,2,0,-2,1,-2,-1	0,0,524880,-699840,4231440,-6324480,23720640,-27317760,72665600,-39454720,74347520,-3112960,0,0,0,0	2	LOCAL_POSITIVE	-
3	-1,2,1,2,-1,-1,1,-1,-2	0,0,524880,-874800,4102650,-7374240,24159390,-31393410,75572490,-49170220,82058974,-9599580,15999070,-313150,539560,-114	2	LOCAL_POSITIVE	-
3	-1,2,1,2,-1,-2,1,-2,0	0,0,393660,-874800,3645000,-6722595,22756950,-30175470,74029365,-44080260,72582485,11750695,49840,-353005,-20585,-320	2	LOCAL_POSITIVE	-
3	-1,2,1,2,-2,-1,1,-1,-1	0,0,393660,-874800,3681450,-6844095,23946840,-32385960,82468035,-55473615,84752919,3021570,-5885775,-243495,116370,8556	2	LOCAL_POSITIVE	-
3	-1,2,1,2,-2,-2,1,-2,1	0,0,524880,-1224720,5815800,-13212720,45536640,-85976760,199798800,-249202400,307167952,-154307040,29430400,-1207520,131200,5664	2	LOCAL_POSITIVE	-
3	-1,2,0,2,2,-2,0,-2,-1	0,0,918540,1180980,8014950,14580810,48857550,82920150,180222180,224983710,305581296,187697850,95729910,6772110,-6102930,-85314	2	LOCAL_POSITIVE	-
3	-1,2,0,2,1,-1,0,-1,-2	0,0,918540,87480,5903280,611955,20305950,1409310,39340185,1894550,39738653,1934915,16287520,785405,1464315,-11004	2	LOCAL_POSITIVE	-
3	-1,2,0,2,1,-2,0,-2,0	0,0,393660,481140,2412990,3173580,10521090,12016080,28296180,20101140,34883424,2052180,1128870,-295380,65430,-3120	2	LOCAL_POSITIVE	-
3	-1,2,0,2,0,-1,0,-1,-1	0,0,393660,87480,1341360,479925,3342870,2010150,6400125,5770080,8083701,6662595,4267560,1571715,271095,14652	2	LOCAL_POSITIVE	-
3	-1,2,0,2,0,-2,0,-2,1	0,0,131220,0,1055430,0,3895530,0,11214900,0,18577224,0,2204630,0,-112530,0	2	LOCAL_POSITIVE	-
3	-1,2,0,2,-1,0,0,0,-2	0,0,393660,-306180,1567350,-1212570,4930470,-1372410,10265220,2043330,12198512,3225810,5888390,668070,578190,-2274	2	LOCAL_POSITIVE	-
3	-1,2,0,2,-1,-1,0,-1,0	0,0,131220,-43740,664200,-124335,2436270,582090,5932245,4743460,7287061,7083455,4120720,1332515,211415,13292	2	LOCAL_POSITIVE	-
3	-1,2,0,2,-1,-2,0,-2,2	0,0,131220,-262440,1473390,-1413450,6775350,-6327450,22973700,-11274030,38792616,148350,3782550,-735990,603030,777006	2	LOCAL_POSITIVE	-
3	-1,2,0,2,-2,0,0,0,-1	0,0,131220,-87480,792990,810,3784110,798630,11750420,3451470,13525592,3538830,-675690,-209830,3910,2286	2	LOCAL_POSITIVE	-
3	-1,2,0,2,-2,-1,0,-1,1	0,0,131220,-306180,1402920,-1920105,7411830,-9323910,25319505,-20456590,31757693,-3658585,-1023800,49325,9915,276	2	LOCAL_POSITIVE	-
3	-1,2,-1,2,2,-1,-1,-1,-1	0,0,1180980,1180980,10300770,16304085,53975160,87261300,166091715,214183845,249311439,209099070,127447425,46747125,7676370,139968	2	LOCAL_POSITIVE	-
3	-1,2,-1,2,2,-2,-1,-2,1	0,0,524880,1224720,5815800,13212720,45536640,85976760,199798800,249202400,307167952,154307040,29430400,1207520,131200,-5664	2	LOCAL_POSITIVE	-
3	-1,2,-1,2,1,0,-1,0,-2	0,0,1180980,-393660,9243720,-5084775,36394110,-22253130,75033945,-37415970,73862053,-18746615,26417800,-1931785,2060435,-39844	2	LOCAL_POSITIVE	-
3	-1,2,-1,2,1,-1,-1,-1,0	0,0,524880,524880,2741850,3628800,9797730,12053340,20619530,20612800,21546022,16282080,9308950,3190220,431920,18532	2	LOCAL_POSITIVE	-
3	-1,2,-1,2,1,-2,-1,-2,2	0,0,131220,306180,2268000,2062665,13390710,8603490,45404025,4360970,39784957,-2408355,3779200,-378445,-96485,53256	2	LOCAL_POSITIVE	-
3	-1,2,-1,2,0,0,-1,0,-1	0,0,524880,-174960,2287440,-1211760,6501120,-2683200,11894160,289600,11423296,6115520,4420480,1495040,293120,15872	2	LOCAL_POSITIVE	-
3	-1,2,-1,2,0,-1,-1,-1,1	0,0,131220,131220,739530,463725,2195340,1603530,4784555,4500655,6783547,6981870,4676665,1474055,144850,-12188	2	LOCAL_POSITIVE	-
3	-1,2,-1,2,-1,1,-1,1,-2	0,0,524880,-874800,4102650,-7374240,24159390,-31393410,75572490,-49170220,82058974,-9599580,15999070,-313150,539560,-114	2	LOCAL_POSITIVE	-
3	-1,2,-1,2,-1,0,-1,0,0	0,0,131220,-43740,664200,-124335,2436270,582090,5932245,4743460,7287061,7083455,4120720,1332515,211415,13292	2	LOCAL_POSITIVE	-
3	-1,2,-1,2,-1,-1,-1,-1,2	0,0,0,0,590490,0,1771470,590490,5314410,5904900,9802134,10628820,6495390,1771470,0,118098	4	LOCAL_POSITIVE	-
3	-1,2,-1,2,-2,1,-1,1,-1	0,0,131220,-218700,1692090,-867915,9546720,71940,29321355,17067905,25830919,8697270,205705,-230875,-19550,216	2	LOCAL_POSITIVE	-
