base_index	leaf_ordinal	status	left_counts	left_hashes	right_counts	right_hashes	left_path	left_sha256	right_path	right_sha256	generated_children	query_checks	seconds	detail
4	961	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.49e-06	left: aggregate wall cap
4	962	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.47e-06	left: aggregate wall cap
4	969	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.51e-06	left: aggregate wall cap
4	970	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.44e-06	left: aggregate wall cap
4	971	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.42e-06	left: aggregate wall cap
4	978	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.51e-06	left: aggregate wall cap
4	986	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.47e-06	left: aggregate wall cap
3	78	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.97e-06	left: aggregate wall cap
3	79	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.61e-06	left: aggregate wall cap
3	80	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.48e-06	left: aggregate wall cap
3	81	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.52e-06	left: aggregate wall cap
